class	json_data
Diabolist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Damned, imp familiar, infernal charisma +2, obedience", "—"], ["2nd", "+1", "+1", "+1", "+1", "Channel hellfire, infernal bargain", "+1 level of existing class"], ["3rd", "+1", "+1", "+1", "+2", "Augment Summoning, diabolic boon 1, heresy +2", "+1 level of existing class"], ["4th", "+2", "+1", "+1", "+2", "Infernal charisma +4", "+1 level of existing class"], ["5th", "+2", "+2", "+2", "+3", "Hellish soul, imp spell-like abilities", "+1 level of existing class"], ["6th", "+3", "+2", "+2", "+3", "Diabolic boon 2, infernal transport", "+1 level of existing class"], ["7th", "+3", "+2", "+2", "+4", "Infernal charisma +6", "+1 level of existing class"], ["8th", "+4", "+3", "+3", "+4", "Hellfire ray, imp spell-like abilities", "+1 level of existing class"], ["9th", "+4", "+3", "+3", "+5", "Diabolic boon 3, heresy +4", "+1 level of existing class"], ["10th", "+5", "+3", "+3", "+5", "Master conjurer", "+1 level of existing class"]]
Divine Scion	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Opposition alignment", "+1 level of divine spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "—", "+1 level of divine spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Domain specialization", "+1 level of divine spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "Divine wrath", "+1 level of divine spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "—", "+1 level of divine spellcasting class"], ["6th", "+4", "+2", "+2", "+3", "—", "+1 level of divine spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "Deific defense", "+1 level of divine spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "Divine awe", "+1 level of divine spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "—", "+1 level of divine spellcasting class"], ["10th", "+7", "+3", "+3", "+5", "True scion", "+1 level of divine spellcasting class"]]
Dragon Disciple	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Blood of dragons, natural armor increase (+1)", "—"], ["2nd", "+1", "+1", "+1", "+1", "Ability boost (Str +2), bloodline feat, dragon bite", "+1 level of existing arcane spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Breath weapon", "+1 level of existing arcane spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Ability boost (Str +2), natural armor increase (+1)", "+1 level of existing arcane spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Blindsense 30 ft., bloodline feat", "—"], ["6th", "+4", "+3", "+2", "+3", "Ability boost (Con +2)", "+1 level of existing arcane spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Dragon form (1/day), natural armor increase (+1)", "+1 level of existing arcane spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Ability boost (Int +2), bloodline feat", "+1 level of existing arcane spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Wings", "—"], ["10th", "+7", "+5", "+3", "+5", "Blindsense 60 ft., dragon form (2/day)", "+1 level of existing arcane spellcasting class"]]
Duelist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+0", "+1", "+0", "Canny defense, precise strike"], ["2nd", "+2", "+1", "+1", "+1", "Improved reaction +2, parry"], ["3rd", "+3", "+1", "+2", "+1", "Enhanced mobility"], ["4th", "+4", "+1", "+2", "+1", "Combat Reflexes, grace"], ["5th", "+5", "+2", "+3", "+2", "Riposte"], ["6th", "+6", "+2", "+3", "+2", "Acrobatic charge"], ["7th", "+7", "+2", "+4", "+2", "Elaborate defense"], ["8th", "+8", "+3", "+4", "+3", "Improved reaction +4"], ["9th", "+9", "+3", "+5", "+3", "Deflect Arrows, no retreat"], ["10th", "+10", "+3", "+5", "+3", "Crippling critical"]]
Eldritch Knight	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+0", "+0", "Bonus combat feat, diverse training", "—"], ["2nd", "+2", "+1", "+1", "+1", "—", "+1 level of existing arcane spellcasting class"], ["3rd", "+3", "+2", "+1", "+1", "—", "+1 level of existing arcane spellcasting class"], ["4th", "+4", "+2", "+1", "+1", "—", "+1 level of existing arcane spellcasting class"], ["5th", "+5", "+3", "+2", "+2", "Bonus combat feat", "+1 level of existing arcane spellcasting class"], ["6th", "+6", "+3", "+2", "+2", "—", "+1 level of existing arcane spellcasting class"], ["7th", "+7", "+4", "+2", "+2", "—", "+1 level of existing arcane spellcasting class"], ["8th", "+8", "+4", "+3", "+3", "—", "+1 level of existing arcane spellcasting class"], ["9th", "+9", "+5", "+3", "+3", "Bonus combat feat", "+1 level of existing arcane spellcasting class"], ["10th", "+10", "+5", "+3", "+3", "Spell critical", "+1 level of existing arcane spellcasting class"]]
Enchanting Courtesan	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Covert spells, enchanting touch, seducer's leverage", "—"], ["2nd", "+1", "+1", "+1", "+1", "Poison use, seductive intuition", "+1 level of spellcasting class"], ["3rd", "+1", "+2", "+1", "+2", "Hidden spell +1, master poisoner", "+1 level of spellcasting class"], ["4th", "+2", "+2", "+1", "+2", "Contact poison wielder", "+1 level of spellcasting class"], ["5th", "+2", "+3", "+2", "+3", "Deluding touch", "+1 level of spellcasting class"], ["6th", "+3", "+3", "+2", "+3", "Hidden spell +2/+1", "+1 level of spellcasting class"], ["7th", "+3", "+4", "+2", "+4", "Informative liaisons", "+1 level of spellcasting class"], ["8th", "+4", "+4", "+3", "+4", "Overwhelming touch", "+1 level of spellcasting class"], ["9th", "+4", "+5", "+3", "+5", "Hidden spell +3/+2", "+1 level of spellcasting class"], ["10th", "+5", "+5", "+3", "+5", "Touch of ecstasy", "+1 level of spellcasting class"]]
Envoy of Balance	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Incisive spells +1", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Endowment", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Contravening armament", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Endowment", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Ethical paradox", "+1 level of spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Endowment", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Retributive symmetry", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Endowment", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Incisive spells +2", "+1 level of spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Scales of morality", "+1 level of spellcasting class"]]
Esoteric Knight	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+0", "+1", "Martial esoterica", "—"], ["2nd", "+2", "+1", "+1", "+1", "Psychic esoterica", "+1 level of existing class"], ["3rd", "+3", "+2", "+1", "+2", "Martial esoterica", "—"], ["4th", "+4", "+2", "+1", "+2", "Physic esoterica", "+1 level of existing class"], ["5th", "+5", "+3", "+2", "+3", "Martial esoterica", "—"], ["6th", "+6", "+3", "+2", "+3", "Psychic esoterica", "+1 level of existing class"], ["7th", "+7", "+4", "+2", "+4", "Martial esoterica", "—"], ["8th", "+8", "+4", "+3", "+4", "Psychic esoterica", "+1 level of existing class"], ["9th", "+9", "+5", "+3", "+5", "Martial esoterica", "—"], ["10th", "+10", "+5", "+3", "+5", "Psychic esoterica", "+1 level of existing class"]]
Evangelist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Obedience, skilled"], ["2nd", "+1", "+1", "+1", "+1", "Aligned class, protective grace +1"], ["3rd", "+2", "+1", "+2", "+1", "Divine boon 1"], ["4th", "+3", "+1", "+2", "+1", "Gift of tongues"], ["5th", "+3", "+2", "+3", "+2", "Multitude of talents"], ["6th", "+4", "+2", "+3", "+2", "Divine boon 2"], ["7th", "+5", "+2", "+4", "+2", "Protective grace +2"], ["8th", "+6", "+3", "+4", "+3", "Gift of tongues"], ["9th", "+6", "+3", "+5", "+3", "Divine boon 3"], ["10th", "+7", "+3", "+5", "+3", "Spiritual form"]]
Exalted	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Divine brand, obedience, scholar", "+1 level of existing divine spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Vitality", "+1 level of existing divine spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Divine boon 1", "+1 level of existing divine spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "Religious speaker", "+1 level of existing divine spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "Expanded portfolio", "+1 level of existing divine spellcasting class"], ["6th", "+4", "+2", "+2", "+3", "Divine boon 2", "+1 level of existing divine spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "Aspect of divinity", "+1 level of existing divine spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "Ardent vision", "+1 level of existing divine spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "Divine boon 3", "+1 level of existing divine spellcasting class"], ["10th", "+7", "+3", "+3", "+5", "Perform miracle", "+1 level of existing divine spellcasting class"]]
Feysworn	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Feymarked, obedience", "—"], ["2nd", "+1", "+1", "+1", "+1", "Breacher, feyskinned", "+1 level of existing class"], ["3rd", "+2", "+1", "+1", "+2", "Fey boon 1", "+1 level of existing class"], ["4th", "+3", "+1", "+1", "+2", "Summon fey 1 (summon monster IV)", "+1 level of existing class"], ["5th", "+3", "+2", "+2", "+3", "Alien mind, plane swap", "+1 level of existing class"], ["6th", "+4", "+2", "+2", "+3", "Fey boon 2", "+1 level of existing class"], ["7th", "+5", "+2", "+2", "+4", "Feyskinned (constant)", "+1 level of existing class"], ["8th", "+6", "+3", "+3", "+4", "Summon fey 2 (summon monster VIII)", "+1 level of existing class"], ["9th", "+6", "+3", "+3", "+5", "Fey boon 3", "+1 level of existing class"], ["10th", "+7", "+3", "+3", "+5", "Tear reality", "+1 level of existing class"]]
Genie Binder	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Binding pool, elemental seal (seal of air), genie mastery", "—"], ["2nd", "+1", "+1", "+1", "+1", "Elemental seal (seal of earth), genie summoner", "+1 level of existing spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Elemental seal (seal of fire), extra seal 1", "—"], ["4th", "+2", "+1", "+1", "+2", "Elemental seal (seal of water)", "+1 level of existing spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Extra seal 2, unstoppable seal", "+1 level of existing spellcasting class"]]
Golden Legionnaire	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Authoritative command +1, defy danger 1"], ["2nd", "+2", "+1", "+1", "+1", "Legion feat, intercept, united defense +2"], ["3rd", "+3", "+2", "+1", "+1", "Allied retribution _1"], ["4th", "+4", "+2", "+1", "+1", "Improved aid +1, legion feat"], ["5th", "+5", "+3", "+2", "+2", "Defy danger 2, hold the line"], ["6th", "+6", "+3", "+2", "+2", "Authoritative command +2, legion feat, united defense +4"], ["7th", "+7", "+4", "+2", "+2", "Allied retribution +2, preemptive strike"], ["8th", "+8", "+4", "+3", "+3", "Authoritative command (swift), legion feat"], ["9th", "+9", "+5", "+3", "+3", "Defy danger 3, improved aid +2, retaliate"], ["10th", "+10", "+5", "+3", "+3", "Guardian of liberty, united defense +6"]]
Gray Corsair	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+0", "+1", "1st favored port, gray focus"], ["2nd", "+1", "+1", "+1", "+1", "Gray boon, know the ropes"], ["3rd", "+2", "+1", "+1", "+2", "2nd favored port, slaver slayer +2"], ["4th", "+3", "+1", "+1", "+2", "Breathe easy 1/day, gray boon"], ["5th", "+3", "+2", "+2", "+3", "3rd favored port, grim resolve"], ["6th", "+4", "+2", "+2", "+3", "Gray boon, slaver slayer +4"], ["7th", "+5", "+2", "+2", "+4", "4th favored port, breathe easy 2/day"], ["8th", "+6", "+3", "+3", "+4", "Gray boon"], ["9th", "+6", "+3", "+3", "+5", "5th favored port, grant freedom, slaver slayer +6"], ["10th", "+7", "+3", "+3", "+5", "Breathe easy 3/day, gray boon, whisk to freedom"]]
Gray Gardener	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+1", "+0", "+1", "Anonymity, sneak attack +1d6", "—"], ["2nd", "+1", "+1", "+1", "+1", "Harsh judgment 1/day, stern gaze", "+1 level of divine spellcasting class"], ["3rd", "+2", "+2", "+1", "+2", "Bane, dramatic interrogation", "+1 level of divine spellcasting class"], ["4th", "+3", "+2", "+1", "+2", "Execution feat, grim investigator, second judgment", "+1 level of divine spellcasting class"], ["5th", "+3", "+3", "+2", "+3", "Improved bane, sneak attack +2d6", "—"], ["6th", "+4", "+3", "+2", "+3", "Execution feat, harsh judgment 2/day", "+1 level of divine spellcasting class"], ["7th", "+5", "+4", "+2", "+4", "Sinister bane", "+1 level of divine spellcasting class"], ["8th", "+6", "+4", "+3", "+4", "Execution feat, slaying judgment", "+1 level of divine spellcasting class"], ["9th", "+6", "+5", "+3", "+5", "Greater bane, sneak attack +3d6", "—"], ["10th", "+7", "+5", "+3", "+5", "Execution feat, final demise, harsh judgment 3/day, true death", "+1 level of divine spellcasting class"]]
Green Faith Acolyte	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Companion bond +1, wild empathy", "+1 level of divine spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Wild link +1", "+1 level of divine spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Companion bond +2, hibernate", "+1 level of divine spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "Power over nature, wild link +2", "+1 level of divine spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "Animal covenant, companion bond +3", "+1 level of divine spellcasting class"], ["6th", "+4", "+2", "+2", "+3", "Venom immunity, wild link +3", "+1 level of divine spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "Blighter of abominations, companion link +4", "+1 level of divine spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "Archdruid, wild link +4", "+1 level of divine spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "Companion bond +5, Great Druid, wild link +5", "+1 level of divine spellcasting class"], ["10th", "+7", "+3", "+3", "+5", "Companion bond +6, Grand Druid, longevity, timeless body, wild link +6", "+1 level of divine spellcasting class"]]
Halfling Opportunist	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Exploitive maneuver, trap spotter, excelled aid (+1)"], ["2nd", "+1", "+1", "+1", "+1", "Exceptionally lucky (+2), sneak attack +1d6, improved trap spotter"], ["3rd", "+2", "+1", "+2", "+2", "Fit in, excellent aid (+2)"], ["4th", "+3", "+1", "+2", "+2", "Exceptionally lucky (+3), sneak attack +2d6"], ["5th", "+3", "+2", "+3", "+3", "Opportunity attacker, excellent aid (+3)"]]
Harrower	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Blessing of the Harrow", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Harrow casting, Tower of Intelligence", "+1 level of spellcasting class"], ["3rd", "+1", "+1", "+1", "+2", "Tower of Strength", "+1 level of spellcasting class"], ["4th", "+2", "+1", "+1", "+2", "Tower of Charisma", "+1 level of spellcasting class"], ["5th", "+2", "+2", "+2", "+3", "Spirit deck", "+1 level of spellcasting class"], ["6th", "+3", "+2", "+2", "+3", "Divination", "+1 level of spellcasting class"], ["7th", "+3", "+2", "+2", "+4", "Tower of Constitution", "+1 level of spellcasting class"], ["8th", "+4", "+3", "+3", "+4", "Tower of Dexterity", "+1 level of spellcasting class"], ["9th", "+4", "+3", "+3", "+5", "Tower of Wisdom", "+1 level of spellcasting class"], ["10th", "+5", "+3", "+3", "+5", "Reading the signs", "+1 level of spellcasting class"]]
Hellknight Signifer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Aura of law, catechesis, order, signifer mask", "+1 level of spellcasting class"], ["2nd", "+1", "+1", "+1", "+1", "Arcane armor expertise", "+1 level of spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Signifer armor training 1", "+1 level of spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "Assiduous gaze", "+1 level of spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "Arcane armor expertise (immediate action)", "+1 level of spellcasting class"], ["6th", "+4", "+2", "+2", "+3", "Discern lies", "+1 level of spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "Assiduous gaze", "+1 level of spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "Signifer armor training 2", "+1 level of spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "Infernal resilience", "+1 level of spellcasting class"], ["10th", "+7", "+3", "+3", "+5", "Diabolic harbinger", "+1 level of spellcasting class"]]
Hellknight	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Aura of law, detect chaos, order, smite chaos 1/day"], ["2nd", "+2", "+1", "+1", "+1", "Discern lies, Hellknight armor 1"], ["3rd", "+3", "+2", "+1", "+1", "1st discipline, force of will 1"], ["4th", "+4", "+2", "+1", "+1", "Smite chaos 2/day"], ["5th", "+5", "+3", "+2", "+2", "Hellknight armor 2"], ["6th", "+6", "+3", "+2", "+2", "2nd discipline, force of will 2"], ["7th", "+7", "+4", "+2", "+2", "Lawbringer, smite chaos 3/day"], ["8th", "+8", "+4", "+3", "+3", "Hellknight armor 3"], ["9th", "+9", "+5", "+3", "+3", "3rd discipline, force of will 3, infernal armor"], ["10th", "+10", "+5", "+3", "+3", "Hell’s knight, smite chaos 4/day"]]
Heritor Knight	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+1", "Skill and heart as one, savior of the swallowed"], ["2nd", "+2", "+1", "+1", "+1", "Heritor's honor, witches' woe"], ["3rd", "+3", "+2", "+1", "+2", "Skyreaver"], ["4th", "+4", "+2", "+1", "+2", "Wraithwall"], ["5th", "+5", "+3", "+2", "+3", "Mohrgbreaker"], ["6th", "+6", "+3", "+2", "+3", "Mighty strike, reforged heart"], ["7th", "+7", "+4", "+2", "+4", "Image of divinity"], ["8th", "+8", "+4", "+3", "+4", "Redeemer of undeath"], ["9th", "+9", "+5", "+3", "+5", "Freed by blood"], ["10th", "+10", "+5", "+3", "+5", "Sky stride, unveiling mistress"]]
Hinterlander	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+0", "+0", "+0", "+1", "Favored enemy +2, master archer bonus feat", "—"], ["2nd", "+1", "+1", "+1", "+1", "Fast movement, favored terrain (hinterland) +2", "+1 level of existing spellcasting class"], ["3rd", "+2", "+1", "+1", "+2", "Hinterland stride, master archer bonus feat", "+1 level of existing spellcasting class"], ["4th", "+3", "+1", "+1", "+2", "Chosen kin", "+1 level of existing spellcasting class"], ["5th", "+3", "+2", "+2", "+3", "Master archer bonus feat", "+1 level of existing spellcasting class"], ["6th", "+4", "+2", "+2", "+3", "Defended hearth +2", "+1 level of existing spellcasting class"], ["7th", "+5", "+2", "+2", "+4", "imbue arrow", "+1 level of existing spellcasting class"], ["8th", "+6", "+3", "+3", "+4", "Favored enemy +4", "+1 level of existing spellcasting class"], ["9th", "+6", "+3", "+3", "+5", "Favored terrain (hinterland) +4", "+1 level of existing spellcasting class"], ["10th", "+7", "+3", "+3", "+5", "defended hearth +4, waymarker travel", "+1 level of existing spellcasting class"]]
Holy Vindicator	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special", "Spells Per Day"], ["1st", "+1", "+1", "+0", "+1", "Channel energy, vindicator's shield", "—"], ["2nd", "+2", "+1", "+1", "+1", "Stigmata", "+1 level of divine spellcasting class"], ["3rd", "+3", "+2", "+1", "+2", "Faith healing (empower)", "+1 level of divine spellcasting class"], ["4th", "+4", "+2", "+1", "+2", "Divine wrath", "+1 level of divine spellcasting class"], ["5th", "+5", "+3", "+2", "+3", "Bloodfire, Channel Smite", "—"], ["6th", "+6", "+3", "+2", "+3", "Versatile channel", "+1 level of divine spellcasting class"], ["7th", "+7", "+4", "+2", "+4", "Divine judgment", "+1 level of divine spellcasting class"], ["8th", "+8", "+4", "+3", "+4", "Faith healing (maximize)", "+1 level of divine spellcasting class"], ["9th", "+9", "+5", "+3", "+5", "Bloodrain", "—"], ["10th", "+10", "+5", "+3", "+5", "Divine retribution", "+1 level of divine spellcasting class"]]
Horizon Walker	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Favored terrain"], ["2nd", "+2", "+1", "+1", "+1", "Favored terrain, terrain mastery"], ["3rd", "+3", "+2", "+1", "+1", "Terrain dominance"], ["4th", "+4", "+2", "+1", "+1", "Favored terrain, terrain mastery"], ["5th", "+5", "+3", "+2", "+2", "Favored terrain"], ["6th", "+6", "+3", "+2", "+2", "Terrain dominance, terrain mastery"], ["7th", "+7", "+4", "+2", "+2", "Favored terrain"], ["8th", "+8", "+4", "+3", "+3", "Favored terrain, terrain mastery"], ["9th", "+9", "+5", "+3", "+3", "Terrain dominance"], ["10th", "+10", "+5", "+3", "+3", "Favored terrain, master of all lands"]]
Inner Sea Pirate	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+0", "Sneak attack +1d6"], ["2nd", "+1", "+1", "+1", "+1", "Pirate trick"], ["3rd", "+2", "+1", "+2", "+1", "Pirate trick"], ["4th", "+3", "+1", "+2", "+1", "Sneak attack +2d6"], ["5th", "+3", "+2", "+3", "+2", "Pirate trick"], ["6th", "+4", "+2", "+3", "+2", "Advanced tricks, pirate trick"], ["7th", "+5", "+2", "+4", "+2", "Sneak attack +3d6"], ["8th", "+6", "+3", "+4", "+3", "Pirate trick"], ["9th", "+6", "+3", "+5", "+3", "Pirate trick"], ["10th", "+7", "+3", "+5", "+3", "Sneak attack +4d6"]]
Justicar	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+2", "+2", "+0", "Aura of law, authority, lawkeeper"], ["2nd", "+2", "+3", "+3", "+0", "Sure shot"], ["3rd", "+3", "+3", "+3", "+1", "Oathmark"]]
Knight of Ozem	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+0", "+0", "Sentinel against undeath"], ["2nd", "+2", "+1", "+1", "+1", "Teamwork feat"], ["3rd", "+3", "+2", "+1", "+1", "Aegis feat, favored enemy (undead)"], ["4th", "+4", "+2", "+1", "+1", "Thwart foul magic"], ["5th", "+5", "+3", "+2", "+2", "Teamwork feat"], ["6th", "+6", "+3", "+2", "+2", "Aegis feat, blessed conviction"], ["7th", "+7", "+4", "+2", "+2", "Purge malevolence"], ["8th", "+8", "+4", "+3", "+3", "Teamwork feat"], ["9th", "+9", "+5", "+3", "+3", "Aegis feat, foil deathcaster"], ["10th", "+10", "+5", "+3", "+3", "Raiment of righteousness"]]
Lantern Bearer	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+1", "+1", "+0", "Lantern arcana, luminous potency"], ["2nd", "+2", "+1", "+1", "+1", "1st favored enemy, bitter armament"], ["3rd", "+3", "+2", "+2", "+1", "Lantern arcana, superior discernment"], ["4th", "+4", "+2", "+2", "+1", "Unbounded stride"], ["5th", "+5", "+3", "+3", "+2", "Lantern arcana, proven weapon familiarity"], ["6th", "+6", "+3", "+3", "+2", "Celestial weaponry"], ["7th", "+7", "+4", "+4", "+2", "Fade from sight, lantern arcana"], ["8th", "+8", "+4", "+4", "+3", "2nd favored enemy"], ["9th", "+9", "+5", "+5", "+3", "Aiudara alignment"], ["10th", "+10", "+5", "+5", "+3", "Bringer of brightness"]]
Liberator	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+1", "+2", "+0", "+0", "Poison resistance +2, to the rescue"], ["2nd", "+2", "+3", "+0", "+0", "Lockbreaker +1"], ["3rd", "+3", "+3", "+1", "+1", "Bonus feat, silent sunder"], ["4th", "+4", "+4", "+1", "+1", "Lockbreaker +2"], ["5th", "+5", "+4", "+1", "+1", "Slaver's ruin"], ["6th", "+6", "+5", "+2", "+2", "Greater sunder, lockbreaker +3"], ["7th", "+7", "+5", "+2", "+2", "Poison resistance +4, steely resolve"], ["8th", "+8", "+6", "+2", "+2", "Darkvision, lockbreaker +4"], ["9th", "+9", "+6", "+3", "+3", "Quick pick"], ["10th", "+10", "+7", "+3", "+3", "Freedom of movement, lockbreaker +5"]]
Lion Blade	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+0", "+1", "+1", "Bardic performance, inspiring poise +2, master of disguise, move with the crowd"], ["2nd", "+1", "+1", "+1", "+1", "Slowing strike, sneak attack +1d6"], ["3rd", "+2", "+1", "+2", "+2", "Hide in the crowd, unexpected suggestion"], ["4th", "+3", "+1", "+2", "+2", "Expeditious advance, perfect surprise"], ["5th", "+3", "+2", "+3", "+3", "Dirge of misfortune, inspiring poise +4"], ["6th", "+4", "+2", "+3", "+3", "Crowd strike, sneak attack +2d6"], ["7th", "+5", "+2", "+4", "+4", "Cloud the mind, secret step"], ["8th", "+6", "+3", "+4", "+4", "Narrow miss"], ["9th", "+6", "+3", "+5", "+5", "Grandmaster of disguise, inspiring poise +6"], ["10th", "+7", "+3", "+5", "+5", "Silent soul, sneak attack +3d6"]]
Living Monolith	[["Level", "Base Attack Bonus", "Fort Save", "Ref Save", "Will Save", "Special"], ["1st", "+0", "+1", "+0", "+0", "Soul stone"], ["2nd", "+1", "+1", "+1", "+1", "Stone blood"], ["3rd", "+2", "+2", "+1", "+1", "Fortified flesh (DR 1/-, 10%)"], ["4th", "+3", "+2", "+1", "+1", "Stability, tombsight"], ["5th", "+3", "+3", "+2", "+2", "Fortified flesh (DR 2/-, 20%, immune to disease), greater ka stone"], ["6th", "+4", "+3", "+2", "+2", "Attunement to stone"], ["7th", "+5", "+4", "+2", "+2", "Summon sphinx"], ["8th", "+6", "+4", "+3", "+3", "Communion with stone, fortified flesh (DR 3/-, 30%)"], ["9th", "+6", "+5", "+3", "+3", "Assumption of stone"], ["10th", "+7", "+5", "+3", "+3", "Ageless stone, judgment of the monolith, master ka stone"]]
