name	source	hit_die	alignment	role	requirements	description	url
Daivrat	Qadira, Gateway to the East pg. 20	d6.	Daivrat are respected by genies for their willingness to treat them as equals rather than potential slaves. They are never evil.	Daivrat fill the same role as standard spellcasters, plus they are effective as diplomats among the genie races and those allied with genie-kind.		The empire of Kelesh is built by genies, who create towering spires and opulent palaces for the padishah emperor in the hopes that a future ruler will set their kinsfolk free. But not all Qadiran mages see genies as creatures to be bested and enslaved. Instead of potential slaves, these daivrat (“brothers of genies”) treat genies as powerful allies, wise counselors, and comrades-in-arms. Though few are foolish enough to consider liberating the thralls of the emperor, each daivrat considers herself a soldier, servant, or cousin to the genies.<br>Many are the names of the genies, and so similar that most cannot discern them. Yet the daivrat knows a djinni from a janni and the difference between a half-janni and a suli-janni. The daivrat is distinctly Qadiran, for no other land in Avistan or Garund has such a tradition of treating with the genie races. Good and neutral-aligned genies welcome a daivrat as a friend, and even hateful efreet know they can rely on their daivrat “friends,” sometimes to the daivrat’s detriment.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Daivrat
Darechaser	Paths of the Righteous pg. 10	d10.	Lawful good, neutral good, or chaotic good.			While Kurgess’s faithful thrive in sporting arenas, they understand that nature itself creates the greatest obstacle courses. The athletic fanatics known as darechasers seek out these untamed obstacles as challenges against which to test their strength. In order to continue improving, darechasers must often resort to besting their own records. Sometimes a darechaser will even bet against herself, only to strain to prove herself wrong and amaze bystanders. Darechasers travel widely and delight in both officiating competitions and performing physical feats that inspire a new generation of athleticism. Some even go so far as to use sports as a form of diplomacy, settling disputes with athletic competitions.Requirements<br>To qualify to become a darechaser, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Darechaser
Dawnflower Anchorite	Paths of the Righteous pg. 12	d8.	Neutral good.			Although most of Sarenrae’s worshipers seek to aid others or seek out those villains who can be redeemed, a rare few instead raise their eyes in awe of the greatest of Sarenrae’s gifts to mortals: the sun. These Dawnflower anchorites hope to receive enlightenment in their retreat to the wilds so that they can, some day, return to civilization and use their newfound grace to help heal the church’s wounds.Requirements<br>To qualify to become a Dawnflower anchorite, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Dawnflower%20Anchorite
Dawnflower Dissident	Paths of Prestige pg. 20	d8.				The church of Sarenrae is known across Golarion for its benevolence. In some regions, it is a faith that seeks little more than the succor and relief of suffering wherever it can be found, a warming and cleansing flame that banishes chill, darkness, and despair. Elsewhere, Sarenrae’s faith is a flame that not only cleanses but scourges the wicked, seeing injustice and cruelty as a wound that must be cauterized. Perhaps unsurprisingly for a faith built upon such incandescent passion and verve, the servants of Sarenrae don’t always agree on the best methods to carry out their goddess’s will, and their disagreements become heated, often to the point of violent conflict.<br>Dawnflower dissidents arise to deal with schism and heresy within their own faith, seeking either to expunge or heal the divisions that plague their religion. In order to avoid identification by hostile eyes, Dawnflower dissidents must constantly work in secret, and eschew holy symbols for more discreet shows of faith, such as tattoos or wellhidden pieces of jewelry.Requirements<br>To qualify to become a Dawnflower dissident, a character must fulfill all of the following criteria.<br>Deity: Must worship Sarenrae.<br>Feats: Dervish Dance (The Inner Sea World Guide 286), Weapon Finesse.<br>Skills: Bluff 5 ranks, Disguise 5 ranks, Knowledge (religion) 5 ranks, Sleight of Hand 5 ranks.<br>Spells: Able to cast daylight as a divine spell.Class Skills<br>The Dawnflower Dissident's class skills are Bluff (Cha), Diplomacy (Cha), Disguise (Cha), Knowledge (history) (Int), Knowledge (local) (Int), Knowledge (religion) (Int), Perception (Wis), Perform (Cha), Sense Motive (Wis), Sleight of Hand (Dex), and Stealth (Dex).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Dawnflower%20Dissident
Death Slayer	Adventurer's Guide pg. 152	d8.				Since their establishment, the Red Mantis have abided by the divine laws established by Achaekek and the holy rituals of murder, including the law of reality that all things must die, in their time—or when a contract seals their fate. Even the gods themselves must face death, as evidenced by the death of the god Aroden a century ago. Creatures that attempt to avoid death through any means mock the order all living things must submit to, and as such mock the sacred act of assassination. Undead are particularly upsetting to some members of the Red Mantis, and death slayers are trained as specialized agents for missions where the target of an assassination is undead, or when an assassinated target returns from death as one of the undead.<br>Just as Red Mantis assassins do not wantonly slaughter the living, death slayers don’t indiscriminately seek out undead to destroy. They focus instead on eliminating specific targets they’ve been hired to destroy, and they take special satisfaction in destroying those who were assassinated in life by one of their colleagues. A death slayer may even take a contract from one undead client to destroy another, such as two vampires squabbling over territory that holds increasingly sparse human chattel. Death slayers also have a situational exception regarding the prohibition on targeting monarchs. Should a rightful monarch become an undead creature of any sort— whether intentionally (to extend his reign), via a curse, or by other means—this negates the monarch’s previous divine mandate, and the death slayer is not restrained by the Red Mantis’s taboo against killing rightful monarchs for this particular target. Of course, a monarch who becomes undead does not earn the enmity of the Red Mantis simply through the act of becoming undead: an outside agent must still hire the Red Mantis to take out the monarch.<br>While the majority of death slayers worship Achaekek, worshipers of any deity can follow the teachings of the death slayer, provided those who take levels in the prestige class are themselves at least affiliated with the Red Mantis. Good or chaotic death slayers, while incredibly rare, are not impossibilities. Likewise, while most death slayers were once clerics, any divine spellcaster could, in theory, study to become a death slayer.Requirements<br>To qualify to become a death slayer, a character must fulfill the following criteria.<br>Feats: Exotic Weapon Proficiency (sawtooth sabre), Great Fortitude, Weapon Focus (sawtooth sabre).<br>Skills: Knowledge (religion) 5 ranks, Perception 5 ranks, Stealth 5 ranks.<br>Spells: Ability to cast 3rd-level divine spells.Class Skills<br>The Death Slayer's class skills are Disguise (Cha), Escape Artist (Dex), Heal (Wis), Knowledge (arcana) (Int), Knowledge (local) (Int), Knowledge (nobility) (Int), Knowledge (religion) (Int), Perception (Wis), Sense Motive (Wis), Spellcraft (Int), Stealth (Dex), and Use Magic Device (Cha).<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Death%20Slayer
Demoniac	Book of the Damned pg. 208	d8.	Chaotic evil.			Many demon worshipers understand that sinful souls become demons once the Abyss digests them, but the demoniac simply cannot wait for death to begin her transformation. Depending on which demon lord a demoniac devotes herself to, her evil obedience, suite of powers, and resistance change. Yet in the end, all demoniacs are damned, their souls transformed by the Abyss into demons upon their deaths.Requirements<br>To qualify to become a demoniac, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Demoniac
Devoted Muse	Paths of the Righteous pg. 14	d10.	Lawful good, neutral good, or chaotic good.			With Aroden’s death came the Age of Lost Omens, the tumultuous time in which imperial Lung Wa collapsed, and its half-millennium of art and culture was threatened by aggressive warlords and squabbling successor states. In the century since, the passionate Muses of Five Flowers have trained and dispatched Shelyn’s faithful to study, recover, and propagate the dying art forms abandoned and despoiled in the intervening decades. To protect themselves and the valuable works they preserve, each muse trains extensively in self-defense. Their unique fighting styles are an eclectic tribute to lost martial schools, fending off foes as much with fascinating form as with actual harm.Requirements<br>To qualify to become a devoted muse, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Devoted%20Muse
Diabolist	Book of the Damned pg. 210	d6.	Lawful evil.			Though diabolists seek to enslave the forces of Hell and turn them toward goals other than corruption, only the most stalwart of diabolists can resist the temptations of the Pit.Requirements<br>To qualify to become a diabolist, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Diabolist
Divine Scion	Inner Sea Magic pg. 46	d8.	Must be identical to patron deity’s.			Many are the mortals who serve the gods, in small ways and large. Some give offerings to many divinities in hopes of appeasing them all, while others serve one faithfully and exclusively, even zealously. A few, however, are instead chosen by their deities to fulfill sacred missions. Some are merely graced with the anointing spirit of divinity, while a few are the literal scions of their divine patrons, by-blows of a dalliance with mortals. Whatever the source, these are the few who can, with the proper training, become divine scions. The spark of divinity animates their every deed, and voices whisper secrets and commands that were never meant for the ears of others. Divine scions may frustrate the orthodox hierarchy of their faith, as they represent an end-run around the ecclesiastical structures of the church. Their calling comes directly from their deity, and their orders supersede any earthly authority. Of course, many more claim such direct visitation and commission than actually have been touched by the divine, but it is risky to defy or deny any who claim it.Requirements<br>To qualify to become a divine scion, a character must fulfill all the following criteria.<br>Feats: Iron Will, Weapon Focus (deity’s favored weapon)<br>Skills: Knowledge (planes) 5 ranks, Knowledge (religion) 5 ranks, Spellcraft 5 ranks.<br>Spells: Able to cast divine spells.<br>Deity: Must have a patron deity.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Divine%20Scion
Dragon Disciple	PRPG Core Rulebook pg. 380	d12.	Dragon disciples can be of any alignment, although they tend to be more chaotic than lawful. Those dragon disciples that assume the traits of chromatic dragons, such as bestial white and fearsome red dragons, have a proclivity for evil. Conversely, those that take after the metallic dragons, such as stoic brass and chivalric gold dragons, are often of good alignments.	With the magic of a spellcasting class at their disposal, dragon disciples can assume the typical role of a magic-user, hampering the movement of the enemy and hurling damage-dealing spells at their opponents. Dragon disciples' draconic abilities, however, make these versatile spellcasters even more formidable, as they use their breath weapons and flight to destroy their foes directly.		As some of the most ancient, powerful, and capricious creatures in existence, dragons occasionally enter into trysts with unsuspecting mortals or sire offspring with exceptional individuals. Likewise, the great power wielded by these creatures has long intrigued wizards and alchemists who have sought various magical methods to infuse their bodies with draconic power. As a result, the blood of dragons runs through the veins of many races. For some, this heritage manifests as a sorcerous bloodline and a predilection for magic; for others, however, the power of their draconic ancestors becomes an obsession.<br>Spellcasters who embrace their draconic heritage and learn to channel their abilities can become dragon disciples, fearsome warriors who possess not only the repertoire of an accomplished sorcerer but also the ability to unleash the furious power of dragons upon their foes. As dragon disciples discover the power of their forebears, they can learn to breathe fire, take flight on leathery wings, and—at the pinnacle of their abilities—assume the form of a dragon. Although they are rare, dragon disciples can be found in any land where dragons interact with mortals.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Dragon%20Disciple
Duelist	PRPG Core Rulebook pg. 382	d10.	Duelists can be of any alignment, although since most hail from backgrounds as rogues or bards, they tend to eschew lawful behavior. Lawful duelists are not unheard of, however, and such duelists often adhere to a strict code of honor, refusing to attack unarmed or obviously inferior opponents.	The abilities of duelists complement those rogues or bards who wish to accentuate their fighting prowess but, because of their lack of heavy armor, are afraid to leap into combat. Duelists fight in the forefront alongside fighters, barbarians, and other melee combatants, deftly avoiding the blades of their opponents while expertly targeting their vulnerabilities.		Duelists represent the pinnacle of elegant swordplay. They move with a grace unmatched by most foes, parrying blows and countering attacks with swift thrusts of their blades. They may wear armor, but generally eschew such bulky protection as their grace allows them to dodge their opponents with ease. While others flounder on treacherous terrain, duelists charge nimbly across the battlefield, leaping and tumbling into the fray. They thrive in melee, where their skill with the blade allows them to make sudden attacks against clumsy foes and to cripple opponents with particularly well-placed thrusts of the blade.<br>The path to the duelist is natural for rogues and bards, as those classes do not rely on armor for defense, although nearly as many duelists come from the ranks of fighters and rangers. They are often found in those regions that possess elaborate rules and etiquette for battle.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Duelist
Eldritch Knight	PRPG Core Rulebook pg. 384	d10.	The road to becoming an eldritch knight is as varied as the paths leading to apprenticeship under a wizard or a career as a soldier, and eldritch knights can therefore be of any alignment. Maintaining a balance between studies of arcane lore and martial techniques requires great discipline, however, and for that reason many favor lawful alignments.	Eldritch knights blend the abilities of fighting classes and spellcasters, hurling magic at the enemy one moment and hewing down their opponents with steel the next. They are just as comfortable fighting in the thick of combat as they are casting spells at foes while remaining safely behind their compatriots. Their versatility makes them valuable allies when the nature of an upcoming battle is unclear.		Fearsome warriors and spellcasters, eldritch knights are rare among magic-users in their ability to wade into battle alongside fighters, barbarians, and other martial classes. Those who must face eldritch knights in combat fear them greatly, for their versatility on the battlefield is tremendous; against heavily armed and armored opponents they may level crippling spells, while opposing spellcasters meet their ends on an eldritch knight's blade.<br>Because the road to becoming an eldritch knight requires both martial prowess and arcane power, eldritch knights almost always begin their paths as multiclassed characters, such as fighter/wizards or ranger/sorcerers. They may be found wherever studies of the arcane are as prevalent as martial training.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Eldritch%20Knight
Enchanting Courtesan	Inner Sea Intrigue pg. 34	d6.				Enchanting courtesans are elite information brokers who perfect their bodies and develop their minds to use illusions, enchantments, and other magical extensions of their considerable charms. Although enchanting courtesans are most commonly trained by the church of Calistria, their much-sought-after skills can be found in groups across Golarion, from the Tallow Boys of Kaer Maga to students of Jalmeray’s Conservatory. Although some enchanting courtesans work with spy organizations, others sell their services to please or humiliate high-profile targets. In order to avoid alienating clients, enchanting courtesans usually take great pains to exploit and sell their knowledge only through intermediaries such as highly professional thieves’ guilds.Requirements<br>In order to qualify to become an enchanting courtesan, a character must fulfill the following criteria.<br>Feats: Either Spell Focus (divination) or Spell Focus (enchantment).<br>Skills: Bluff 5 ranks; Knowledge (arcana) 2 ranks; Sense Motive 5 ranks; Perform (act) or Perform (dance) 2 ranks.<br>Spells: Ability to cast two different divination spells and two different enchantment spells. One of each must be 2nd level or higher.Class Skills<br>The Enchanting Courtesan's class skills are Acrobatics (Dex), Bluff (Cha), Diplomacy (Cha), Disguise (Cha), Intimidate (Cha), Knowledge (arcana) (Int), Knowledge (local) (Int), Knowledge (nobility) (Int), Knowledge (religion) (Int), Linguistics (Int), Perform (Cha), Sense Motive (Wis), Sleight of Hand (Dex), and Stealth (Dex).<br>Skill Points at each Level: 6 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Enchanting%20Courtesan
Envoy of Balance	Champions of Balance pg. 30	d6.	Neutral.			Standing beyond good and evil, outside law and chaos, an envoy of balance serves as the countering force against any extremism that seeks to elevate one alignment above all others. While their motives seem almost inexplicable to onlookers, envoys of balance see themselves as guardians of the cosmic scales and arbiters of universal balance.Requirements<br>To qualify to for this prestige class, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Envoy%20of%20Balance
Esoteric Knight	Chronicle of Legends pg. 10	d10.				Mysterious warriors and wielders of psychic powers, esoteric knights are as rare as the obscure techniques they obsessively practice. While others seek the perfection of mind and body in the pursuit of tranquility, these warriors aim to become perfect, dangerous weapons by learning occult secrets and mastering deadly fighting moves. Esoteric knights know that balance between mind and body is an advantage they can exploit against those who favor brains or brawn.<br>Every esoteric knight is different. They rarely form orders or train apprentices and guard their unique secrets with unmatched paranoia. Though anyone with the right mix of abilities can become an esoteric knight, the road to becoming one is filled with dead ends, eldritch dangers, and unexpected twists. Esoteric knights are most commonly found in the Impossible Kingdoms of Vudra, where mastery of both body and mind are common pursuits.Requirements<br>To qualify to become an esoteric knight, a character must fulfill all of the following criteria.<br>Base Attack Bonus: +5.<br>Special: Kinetic blast class feature or ability to cast 1st-level psychic spells.Class Skills<br>The Esoteric Knight's class skills are Appraise (Int), Climb (Str), Knowledge (arcana) (Int), Knowledge (planes) (Int), Knowledge (religion) (Int), Linguistics (Int), Ride (Dex), Spellcraft (Int), and Swim (Str)..<br>Skill Points at each Level: 4 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Esoteric%20Knight
Evangelist	Inner Sea Gods pg. 198	d8.	Within one step of chosen deity.			Though all faiths have their dedicated priests and righteous warriors, gods inspire devotion from a wide range of individuals. Rogues who specialize in stealth and poisons might swear allegiance to Norgorber, while wandering bards sing songs in praise of Desna. Even the most powerful deity is not too proud to turn such followers aside, for the worship of passionate acolytes is precious regardless of their backgrounds, professions, races, or ages, and they might lead others to the faith by example. These unusual but skillful followers of the gods are called evangelists.<br>An evangelist could have a childhood rooted in wealth or poverty, hail from the north or the south, and may have been raised in her faith or come to it late in life. She may follow one path strictly or dabble in multiple professions. She may be of any race and pledge her faith to any of the core deities. Of all the preeminent followers of the core deities, the evangelist is the hardest to predict and shows the most variety in her abilities.Requirements<br>To qualify to become an evangelist, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Evangelist
Exalted	Inner Sea Gods pg. 200	d8.	Same as chosen deity.			The exalted exemplifies the teachings of her faith. More than a religious leader, she is the embodiment of faith that all members of the religion strive to emulate. She may be part of the official religious hierarchy or an independent worshiper, but wherever she goes she inspires others to join or commit more fully to her faith.<br>Through constant meditation, reflection, and religious study, the exalted has forged a unique connection to her god. Though the exalted of every faith share certain granted abilities, each one also receives special abilities based on the specific teachings of her religion. An exalted of Torag acts and appears very differently from an exalted of Lamashtu, for example. All exalted conduct themselves with devotion and passion, however, inspiring zealotry through word and deed wherever they go.Requirements<br>To qualify to become an exalted, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Exalted
Feysworn	The First World, Realm of the Fey pg. 8	d8.				The Eldest appreciate a broad range of talents in their servants. While some of their faithful are traditional divine casters, many more are feysworn—adventurers of all sorts who pledge themselves to the service of one of the fey lords in exchange for magical power. Most common in the First World, feysworn can also be found on the Material Plane among those adventurers and scholars who deal with fey, were raised with a close connection to the First World, or simply appreciate the Eldest’s willingness to exchange divine power for souls and service without the burden of excessive dogma.Requirements<br>To qualify to become a feysworn, a character must fulfill all of the following criteria.<br>Feat: Fey Obedience<br>Languages: Aklo, First Speech, or Sylvan.<br>Skills: Knowledge (planes) 5 ranks.<br>Special: Must worship one of the Eldest.Class Skills<br>The Feysworn's class skills are Bluff (Cha), Handle Animal (Cha), Intimidate (Cha), Knowledge (nature) (Int), Knowledge (planes) (Int), Knowledge (religion) (Int), Sense Motive (Wis), Spellcraft (Int), and Survival (Wis).<br>Skill Points at each Level: 2 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Feysworn
Genie Binder	Elemental Master's Handbook pg. 26	d6.	Any nongood.			While genies chafe at being bound and bottled, they respect power—especially masters of the art of genie binding. The greatest of these conjurers was Sulesh the Great, a Keleshite spellcaster who refined the art of genie seals; his students continue to perfect his methods.Requirements<br>To qualify to become a genie binder, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Genie%20Binder
Golden Legionnaire	Adventurer's Guide pg. 66	d10.	Any good.			Golden Legionnaires are members of the Eagle Knight branch known formally as Eagle Knights of the Golden Legion. The foremost protectors of Andoran and its populace, the Golden Legionnaires primarily guard Andoran’s borders and watch over the country’s untamed rural areas.<br>Within Andoran’s borders, Golden Legionnaires operate independently alongside the nation’s armed forces as members of elite military units. These highly capable field commanders and training officers adjust to suit the needs of a particular region, often developing specialized talents to counter specific threats found nearby. Angry fey in the Verduran Forest, tricky kobold traps near the Candlestone Caverns, and dangerous werewolves in Darkmoon Vale all threaten the Golden Legionnaires and their mission to safeguard their homeland. In Andoran’s towns and cities, teams of Golden Legionnaires work to thwart spies and sinister agents of foreign powers, such as devious Taldan poisoners, Chelish diabolists, and Okeno bounty hunters.<br>Above all else, the Golden Legion’s duty is domestic security; the Legion extensively trains its soldiers in defensive tactics and strategies that ensure the protection of both Andorens and other members of the Legion. That said, a typical Golden Legionnaire exhibits audacious courage and unflinchingly puts himself between those he protects and possible threats. An ambush or unprovoked attack incenses a Golden Legionnaire and propels him to acts of selfless bravery and daring prowess. Even when they are hundreds of miles away from their homes, Golden Legionnaires use their skills and combat prowess to protect their allies and Andoran’s ideals.<br>While a large proportion of Golden Legionnaire candidates enlist from within the ranks of the Andoren military, the Legion recruits a number of nontraditional soldiers for their special skills. Applicants must demonstrate their devotion to the Andoren ideals of equality, freedom, and justice, as well as obtain a written recommendation from a senior Eagle Knight—or, under unusual circumstances, the personal recommendation of a member of the People’s Council, Andoran’s legislative body.Requirements<br>To qualify to become a Golden Legionnaire, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Golden%20Legionnaire
Gray Corsair	Adventurer's Guide pg. 68	d8.	Any nonevil.			Scourge of the seaborne slaver, Gray Corsairs augment existing class skills with specializations that suit them well for their long tours of duty at sea. Yet Gray Corsairs must also be able to operate with skill on land, for they are often expected to mount marine-based raids on island strongholds or other remote locations used by slavers as markets or staging areas for their cruelty.<br>The Gray Corsairs existed for some time before the Eagle Knights officially formed. While they’ve focused on fighting slavery from the start, they did so in their early days as true pirates rather than privateers. Their assimilation into the Eagle Knights as the naval arm of the Steel Falcons gave the organization a surprisingly strong presence in the Inner Sea, and with Andoran’s direct support, these privateers have become a force to be reckoned with.<br>The freedom fighters who take this prestige class exemplify the call to action to fight slavery in a more violent and aggressive manner than do their allies in the Bellflower Network, and they focus not on mainland slavery but upon the disruption of sea trade of slaves. Swift and agile combatants are in high demand on Gray Corsair ships, as are spellcasters with the ability to command elemental forces or magical transport, and the prestige class plays to this, offering such characters an opportunity to choose an area of specialty while bolstering their nautical skill and knack for rescuing slaves.Requirements<br>To qualify to become a Gray Corsair, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Gray%20Corsair
Gray Gardener	Paths of Prestige pg. 24	d8.				A secretive society brought into being during the early days of the Red Revolution in Galt, the Gray Gardeners are unswerving executioners who maintain their anonymity behind hoods and veils made from gray silk. Wildly popular with the bloodthirsty mobs that periodically hunt for suspected traitors, the Gray Gardeners put the condemned to death in gory public spectacles using magical guillotines known as final blades.<br>Charged as justices and executioners by the Revolutionary Council, Gray Gardeners skillfully uncover and track down those marked as traitors to Galt. Gray Gardeners pierce obfuscation or mendacity by collaborators who might aid or abet a fugitive, and their presence provokes nervous trepidation from certain segments of Galt’s populace. Their notorious questioning and interrogation techniques inexorably break many suspects.Requirements<br>To qualify to become a Gray Gardener, a character must fulfill all of the following criteria.<br>Feats: Combat Reflexes.<br>Skills: Bluff 2 ranks, Diplomacy 2 ranks, Disguise 2 ranks, Intimidate 5 ranks, Perception 2 ranks, Sense Motive 5 ranks.<br>Spells: Able to cast 2nd-level divine spells.<br>Special: The character must publicly execute a tried and sentenced individual. Whether the victim is actually guilty or innocent is irrelevant.Class Skills<br>The Gray Gardener's class skills are Bluff (Cha), Diplomacy (Cha), Disguise (Cha), Intimidate (Cha), Knowledge (local) (Int), Perception (Wis), Sense Motive (Wis), and Stealth (Dex).<br>Skill Points at each Level: 6 + Int modifier.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Gray%20Gardener
Green Faith Acolyte	Paths of Prestige pg. 26	d8.	Any neutral.			All followers of the Green Faith appreciate and respect nature, but for a Green Faith acolyte this admiration blossoms into a profound reverence for the power and infinite majesty of the natural world in all its aspects, both brutal and tender.<br>Green Faith acolytes seek balance, and hold that no single power can be too great for long. All things must ebb and flow, and nothing is exempt from the endless cycle of life, death, decay, and rebirth.<br>Adherents of the Green Faith follow a strict hierarchy that reflects their philosophy of ecological equilibrium. The top leadership comprises only a strict few individuals, their positions secured through a system of challenges made by lesser-ranked initiates against higher-ups in the same way a potential rival must challenge the alpha of an animal pack. The form a particular challenge takes depends on the terms the challenger and her opponent agree upon. Some are fierce battles to the death, and others melee duels or contests of spellcasting. Nonviolent challenges could be tests of biological knowledge, competitive hunts, racing events, or even challenges involving nurturing a rare plant or endangered animal.<br>Members of the Green Faith fiercely oppose the unnatural, including living or undead abominations that have no place in the natural order. Renowned for their impartiality, Green Faith acolytes commonly serve as judges, ambassadors, or mediators between opposing parties.Requirements<br>To qualify to become a Green Faith acolyte, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Green%20Faith%20Acolyte
Halfling Opportunist	Halflings of Golarion pg. 28	d8.	Halfling opportunists view deception and taking advantage of others as a way of life. This makes it very difficult (but not impossible) for lawful characters that choose this prestige class to stick to their principles.	Their amazing luck, acute sense of danger, and ability to assess and then seize the advantage in virtually any situation makes halfling opportunists ideally suited for scouting or taking the front of party lines, especially when fighting only one enemy.		Even more so than the rest of their kind, halfling opportunists make their own luck. Shamelessly willing to take advantage of their foes, they can instantly assess a situation in order to find a way to turn it to their own benefit. When a giant swings his club, the halfling opportunist leaps onto it and uses the momentum to make her jump go that much further. When a spellcaster hurls a bolt of magical energy, the halfling opportunist steps in front of a door and uses the power to help her to smash through so she can make her escape. When a courtier tries to blacken her name, the halfling opportunist lets loose such a stream of cheeky accusations that the courtier ends up looking like the traitor instead. Halfling opportunists’ ability to exploit their enemies gives them a breezy selfconfidence and the sheer audacity to take risks few others would dare. Perhaps because of this brazenness, they seem blessed by amazing strokes of good fortune. However, they rarely take their luck for granted. Instead they rely upon their keen senses to sidestep danger and their adaptability to carry them through both combat and social settings.<br>Most halfling opportunists begin their careers as rogues, with bards and rangers tied as distant seconds. Barbarians and fighters with the presence of mind to adjust their combat styles prove surprisingly effective. Paladins and monks, troubled by the halfling opportunist ethos of deception and exploitation, are rarer entry points of this class than spellcasters.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Halfling%20Opportunist
Harrower	Inner Sea World Guide pg. 276	d6.	Must be chaotic, evil, good, or lawful (cannot be true neutral). Most harrowers represent alignment extremes: lawful good, chaotic good, lawful evil, or chaotic evil.			One of the most mysterious and mystical Varisian traditions, and certainly one that has captured the imaginations and curiosity of many of the Inner Sea’s peoples, is the harrowing. Using a special deck of cards known as a Harrow deck, one can perform a harrowing by laying the cards out in a three-by-three grid that reveals secrets of the target’s past, present, and future.<br>Whether or not the revelations and divinations of a typical harrowing are trustworthy, none can deny that the strange powers wielded by the harrower are real. The harrower uses the ancient art of fortune-telling to harness destiny and thus augment her spellcasting abilities, infusing them with power by drawing cards from her Harrow deck and letting fate decide what elements of her magic need augmentation.<br>Several of the harrower’s powers require the drawing of cards from a Harrow deck. You can use an actual Harrow deck for this act (Harrow decks are available at paizo.com or at many gaming stores), but you can also simulate a draw from such a deck of cards as detailed on page 293, under the equipment entry for Harrow decks. For most of the harrower’s class features, you need only roll 1d6 to determine the suit of each card drawn for a Harrow casting. Only the blessing of the Harrow and spirit deck class features pay attention to a card’s alignment.Requirements<br>To qualify to become a harrower, a character must fulfill all the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Harrower
Hellknight Signifer	Adventurer's Guide pg. 92	d8.	Any lawful.			Hellknight signifers form the spellcasting arm of the Hellknight orders. They serve as faceless enforcers of order and use their magical powers to relentlessly root out and punish criminals to the letter of the law. They wear masks— often featureless—to mark themselves as impersonal agents of order, unswayed by empathy, detached from emotion, and dedicated to passing impartial judgment upon all lawbreakers. A signifer’s distinctive mask is a symbol of his devotion to the precepts of law and exacting justice, and it serves as the focus for several of his signifer powers. Traditionally, signifers are arcane or divine spellcasters. As a signifer must be lawful, clerics who take this prestige class generally worship lawful deities, with the majority being worshipers of Abadar or Asmodeus. Despite trends toward diabolism, overall a signifer’s views of good and evil are defined by his Hellknight order first and everything else second. While it’s certainly possible for a psychic spellcaster to become a Hellknight signifer, to date, such examples are relatively rare among the various Hellknight orders. Yet in time, as such magic spreads and gains acceptance, psychic Hellknight signifers may well grow more common.Requirements<br>To qualify to become a Hellknight signifer, a character must fulfill all of the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Hellknight%20Signifer
Hellknight	Adventurer's Guide pg. 90	d10.	Any lawful.			Not all who start as novice armigers have what it takes to become a full-fledged Hellknight, but those who do receive a wide array of abilities as they grow more powerful. While the individual powers and focus of a particular Hellknight vary according to his order, all Hellknights are universally feared and respected in regions where they maintain a presence. Most Hellknights are lawful neutral and proudly avoid being “tainted” by distractions such as good or evil, but some who rise in power shift toward tyrannical and cruel natures.Requirements<br>To qualify to become a Hellknight, a character must fulfill the following criteria.	https://aonprd.com/PrestigeClassesDisplay.aspx?ItemName=Hellknight
