name	type	category	source	requirements	description	url
Diabolist Raised	Campaign	Campaign	Council of Thieves Player's Guide pg. 9		All your life you’ve lived within the grip of devil-possessed Cheliax. You care little for the religion of your country, but that is the way of life in the most magnificent empire in the world, and who are you to question the faith of the empire’s rulers? Certainly not a fool like some of your more idealistic acquaintances, possessed of bizarre ideals about personal freedoms and egalitarian rulership—who can say whatever happened to them? You know of Hell and the rigidity of its grim rulers, you’ve seen devils and how they might be employed to the betterment of those with the might to control them, and you know of the dark faith of your country. You might not be a devil worshiper yourself, but there are realities to living in Cheliax, and it’s always good to know what’s really going on behind the scenes. Your knowledge of diabolism grants you a +1 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against Westcrown’s nobility, and a +1 bonus on all saving throws made against mindaffecting attacks from devils.	https://aonprd.com/TraitDisplay.aspx?ItemName=Diabolist%20Raised
Disgraced Noble	Campaign	Campaign	War for the Crown Player's Guide pg. 9		Your noble family used to matter, until your father took a stand against Maxillar Pythareus, the commander of Taldor’s military. True or not, the accusations Pythareus leveled against your family in return destroyed your reputation and isolated you from the society you grew up in. Now the only thing that matters to you is clawing your way back up the social ladder, either for your own quality of life or to clear your family’s name. You’ve had to practice deception as you began working your way back into Taldan social circles; you gain a +2 trait bonus on Bluff checks to conceal your identity and a +2 bonus on Linguistics checks to spot or produce forgeries, and one of these skills is always a class skill for you. Once each day, you can choose a single humanoid you believe to have been involved in the conspiracy to destroy your family; you gain a +1 morale bonus on attack and damage rolls against that NPC for a number of rounds equal to your character level. At 10th level, this bonus increases to +2.	https://aonprd.com/TraitDisplay.aspx?ItemName=Disgraced%20Noble
Diva in Training	Campaign	Campaign	Hell's Rebels Player's Guide pg. 10		The opera is perhaps the most important and prestigious form of entertainment offered in Kintargo, and the Kintargo Opera House is among the most famous of its kind. You’re hardly a superstar among the performers who’ve graced the stage there, but you have performed several times before in small parts. Just recently, you got your big break—you’d won a role in the infamous opera Huntress of Heroes, and had been studying for the role furiously before the onset of martial law dashed your plans to the dirt. Now that the Kintargo Opera House has been claimed by Barzillai Thrune, all shows have been canceled and your chance at success seems to have been lost. Yet you can’t lose hope. You still practice your skills, and some day, perhaps the Kintargo Opera House will open its doors again, at which point you intend to be center stage!<br>Choose one type of Perform skill. You gain a +1 trait bonus in that specific Perform skill, and all Perform skills are class skills for you. You also increase the save DCs of all language-dependent spells and effects you create by 1.	https://aonprd.com/TraitDisplay.aspx?ItemName=Diva%20in%20Training
Dockside Avenger	Campaign	Campaign	Varisia, Birthplace of Legends pg. 28		No crime is too despicable for Gaedren Lamm and his thugs—a gang of lowlife murderers, kidnappers, and drug dealers that operate in Korvosa’s Midland district. You’ve lost someone to Lamm and now you’re out for revenge. While Lamm remains alive and free, you are not slain until your hit point total reaches a negative number equal to your Constitution score + 3. Once Lamm is imprisoned or killed, you lose the former benefit but gain 3 permanent hit points.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dockside%20Avenger
Dockside Brawler	Campaign	Campaign	Skull and Shackles Player's Guide pg. 6		You grew up on the dangerous docks of one of the Shackles’ numerous ports or anchorages, and quickly learned that fists often make a better point than fancy words, especially when used the right way. You’ve always preferred action to talk, anyway. You gain a +1 trait bonus on damage rolls with brass knuckles (Advanced Player’s Guide 176) and improvised weapons.<br>While drinking at a tavern called the Formidably Maid in Port Peril last night, you got into a brawl with some of the other patrons. You handled yourself well, but a group of rough-looking characters ganged up on you and overwhelmed you, knocking you unconscious. Fortunately, you were able to conceal your brass knuckles when you were press-ganged, and you begin the campaign with them, regardless of your starting circumstances.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dockside%20Brawler
Dragonfoe	Campaign	Campaign	Giantslayer Player's Guide pg. 6		You’ve always hated dragons. Perhaps one of your ancestors was a well-known dragonslayer, or a rampaging dragon killed your family or friends. Maybe the stories you grew up hearing about knights rescuing captive princes and princesses from the clutches of evil dragons inspired you to slay dragons. Whatever the reason for your obsession, it has driven you to study how to fight dragons and defend yourself against their fearsome attacks. You gain a +1 dodge bonus to AC against creatures with the dragon type and a +2 trait bonus on Reflex saves against breath weapon attacks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dragonfoe
Driven By Guilt	Campaign	Campaign	Strange Aeons Player's Guide pg. 8		You awake after your ordeal with a lingering feeling that you have taken part in something outside the normal bounds of your morals. Whether you were corrupted at one point or compelled to perform some forgotten actions, this guilt drives you to fight against those forces in the world that prey upon the good. You see your present condition as a chance to redeem yourself and banish this unsettling emotion.<br>You gain a +1 trait bonus on saving throws against any spells or spell-like abilities cast by evil creatures. In addition, once per day as a swift action, you can add your Charisma bonus to your attack rolls and deal 1 additional point of damage for each class level you have against evil creatures for 1 round. You must have a good alignment to take this trait.	https://aonprd.com/TraitDisplay.aspx?ItemName=Driven%20By%20Guilt
Drug Addict	Campaign	Campaign	Curse of the Crimson Throne (PFRPG) pg. 8		Someone you know has become addicted to shiver, a drug distilled from the venom of tropical arachnids known as dream spiders. The drug induces sleep filled with vivid dreams, during which the user’s body shakes and shivers, giving the substance its street name. You’ve always thought of shiver as a problem of the lower class, but then someone you know overdosed on the stuff. You’ve done a bit of investigating and have learned that the villain who got your friend addicted in the first place was a crime lord named Gaedren Lamm. Unfortunately, the guards seem to be focused on the bigger dealers. They don’t have time to devote many resources to what they’ve called “a bit player in a beggar’s problem.” It would seem that if Gaedren’s operation is to be stopped, it falls to you.<br>Choose one of the following benefits.<br>Addicted Friend: The addict is a friend or lover who might or might not have survived the overdose. Your research into the drug scene and local politics has given you a respectable education in street knowledge. You gain a +1 trait bonus on Knowledge (local) checks, and Knowledge (local) is a class skill for you.<br>Personal Addiction: You were the addict. You blame Gaedren for your brush with death and hate how his drugs are causing similar problems among other youths. Fortunately, your body recovers quickly from toxins, and you gain a +1 trait bonus on Fortitude saving throws.	https://aonprd.com/TraitDisplay.aspx?ItemName=Drug%20Addict
Dwarf-Trained	Campaign	Campaign	Giantslayer Player's Guide pg. 6		Dwarves are well acquainted with the threats posed by giants and orcs, and they have spent centuries honing their techniques for fighting these foes. You have trained with the dwarves and have learned some of the tactics they use against their hated enemies. You gain a +2 dodge bonus to AC against creatures with the giant subtype (this does not stack with the bonus granted by the defensive training racial trait of dwarves and gnomes) and a +1 trait bonus on attack rolls against creatures with the orc subtype (this does not stack with the bonus granted by the dwarf hatred racial trait). Dwarves and gnomes can’t choose this trait.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dwarf-Trained
Eager Performer	Campaign	Campaign	Rise of the Runelords Anniversary Edition Player's Guide pg. 4		Hearing that Sandpoint had a theater rivaling those found in large cities like Magnimar and Korvosa, you decided to try your luck getting stage time there. After sending a letter to Cyrdak Drokkus requesting an audition and not hearing back, you’ve taken it upon yourself to travel to Sandpoint and meet him in person, trusting your force of will and charming influence will get you what you want. You gain a +1 trait bonus on checks for any one Perform skill. Additionally, choose any one spell of the enchantment school; its save DC increases by +1.	https://aonprd.com/TraitDisplay.aspx?ItemName=Eager%20Performer
Eagle Knight Recruit	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 9		Since Talmandor’s Bounty is an Andoren colony and is unlikely to see the threat of slavery, the presence of the Eagle Knights isn’t strongly needed, and the Bountiful Venture Company would prefer to not have that organization immediately associated with the colony (despite the colony’s name having been derived from the Eagle Knights’ patron, Talmandor). However, the need for safety can’t be overlooked. You were a soldier in the Andoren army or you were a civilian who showed great promise in military matters. The Eagle Knights recruited you and offered unofficial Eagle Knight status if you managed to make it into the ranks of the colonists. There, you would see to the safety of the colony and send back reports with each supply ship regarding the general state of the colony and any threats you notice. The Bountiful Venture Company admired your military prowess and selected you for the second wave of colonists to arrive at Talmandor’s Bounty.<br>You begin play with a breastplate, a longsword (or some other martial or simple weapon), and an additional 100 gp of gear. In addition, you gain a +1 trait bonus on saving throws against mind-affecting effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Eagle%20Knight%20Recruit
Earning your Freedom	Campaign	Campaign	Legacy of Fire Player's Guide pg. 9		You’ve been a slave your whole life, and have passed from master to master more times than you can count. Some of those masters were cruel, others kindly. In all cases, you’ve yearned to be free. When your most recent master fell on hard times, he sold many of his slaves to the city government, and as luck would have it, a recent opportunity to earn your freedom has manifested. The Pactmasters of Katapesh are looking to revitalize an old trade route to Osirion, and a band of mercenaries and guards is gathering to go out and supplement forces already in place near the ruined village of Kelmarane, now said to be infested by gnolls. You’ve secured a place among those mercenaries, under the watchful eye of Garavel. If you help in retaking Kelmarane, you’ve been promised your freedom. In any event, your life as a slave has toughened you and made you more resistant to hardship. Choose one of the three categories of saving throw; you gain a +1 trait bonus on all saving throws of that type.	https://aonprd.com/TraitDisplay.aspx?ItemName=Earning%20your%20Freedom
Employee	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		You have worked for the Bountiful Venture Company or you are the child of one of its current employees. This connection helped you get a leg up on the competition to get involved in the establishment of Talmandor’s Bounty. The company didn’t want nepotism to show through too strongly, so you weren’t included in the first wave of colonists and instead have been selected to accompany the second wave of colonists to the island. You don’t want people to know that you’re part of the company, but your contacts in the Bountiful Venture Company didn’t necessarily tell you that you needed to keep it a secret.<br>You begin play with an additional 150 gp of equipment and know (at least in some capacity) one of the other company employees: Lyra Heatherly, Perrell Beys, or Ramona Avandth. Due to your association with the Bountiful Venture Company, your words and ideas may carry additional weight with the other employees of the company. (Your GM can grant a +1 circumstance bonus on Diplomacy checks in regards to these people in certain situations.) In addition, you gain a +1 trait bonus on Bluff checks, and Bluff is always a class skill for you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Employee
Enduring Stoicism	Campaign	Campaign	Strange Aeons Player's Guide pg. 9		Even though your pulse is pounding in your ears when you awake in the asylum, you feel strangely nonplussed. You can recognize that the situation you find yourself in is horrific, but you refuse to let that fear control you. It doesn’t feel like it’s worth worrying over too much. You know that when you face unspeakable forces, keeping your cool will keep you alive.<br>You gain a +2 trait bonus on all saving throws against spells or effects with the fear or emotion descriptors. In addition, you gain a +1 trait bonus on Intimidate checks due to your intimidating presence, as people don’t know what to expect from you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Enduring%20Stoicism
Erratic Malefactor	Campaign	Campaign	Hell's Vengeance Player's Guide pg. 12		Some people follow codes and traditions; others look out for only themselves. You don’t care—you do what you want, when you want, sometimes for a good reason, and sometimes for no reason at all. You revel in your status as an outlier, and take pride in the fact that you follow no one else’s orders—at least most of the time. In a lawful land like Cheliax, one has to be more careful and at least pay lip service to the rules and restrictions of society. As a result, you try to manage the chaos that rages within your soul, but you’re always on the lookout for the opportunity to truly unleash destruction. These days, there’s plenty of work for someone who will do what needs to be done, no questions asked, and the rewards from House Thrune for those who work with it are a strong incentive as well. If working with others gives you the freedom to carry out some of your darkest instincts without fear of repercussion, then why not—at least for now. You can worry about the future when it comes.<br>Your unpredictability and volatile temperament gives you an advantage over your foes. You gain a +2 trait bonus on initiative checks. In addition, you are willing to work with others, and have learned to use your allies’ strengths to reinforce your own skills and abilities. Once per day, as long as an ally is within 10 feet of you, you can reroll a single attack roll or skill check before success or failure is known. You must take the results of the second roll, even if it is worse. You must be chaotic evil to take this trait.	https://aonprd.com/TraitDisplay.aspx?ItemName=Erratic%20Malefactor
Ex-Asmodean	Campaign	Campaign	Hell's Rebels Player's Guide pg. 10		You, or perhaps your family, were once worshipers of Asmodeus, but something happened that made you lose your faith. Perhaps your family was asked to give up something dear as a sacrifice, such as the life of a newly born brother or sister. Maybe the church used your family as a scapegoat to cover up a crime someone higher in the church committed. Or perhaps you simply met someone who opened your eyes and showed you the truth—that Asmodeus does not care for his followers, and that the deity of your new religion does. In any event, you left the church, and as a result, your family was punished; they were either put in prison, exiled from Kintargo, or perhaps even executed. Ever since, you’ve vowed to some day get revenge against the church.<br>Choose one: you gain a +1 trait bonus on attack rolls and weapon damage rolls or you gain a +1 trait bonus on the save DCs of your spells against agents of House Thrune and worshipers of Asmodeus, including most (but not all) devils.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ex-Asmodean
Ex-Iomedaean	Campaign	Campaign	Hell's Vengeance Player's Guide pg. 12		You, or perhaps your family, were once worshipers of Iomedae, but something happened that made you lose your faith. Perhaps your family was accused of being dishonorable or cowardly, or maybe one of your family members was the victim of church “justice.” Or perhaps you simply met someone who opened your eyes and showed you the truth—that the Inheritor’s so-called honor, valor, and justice are just tin plating on a strict dogma that seeks to control people by restricting their free will. In any event, you left the church, and as a result, your family was subjected to scorn and holier-than-thou disapproval. Ever since, you’ve vowed to some day get revenge against the church of Iomedae—and with the current situation brewing in Cheliax, you might finally have the opportunity.<br>Choose one: against followers of Iomedae, including many (but not all) archons and angels, you gain a +1 trait bonus on attack rolls and weapon damage rolls, or you gain a +1 trait bonus on the save DCs of your spells.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ex-Iomedaean
Ex-Sczarni	Campaign	Campaign	Varisia, Birthplace of Legends pg. 30		Though you were raised as a member of one of Magnimar’s various Sczarni gangs, you never fit in with the rest of your settled, metropolitan brethren. The Pathfinder Society in particular recognized your wanderlust and potential as an agent, and on more than one occasion you impressed or bamboozled their agents with your street smarts and finesse. Over the years, you fell out of favor with the Sczarni, and eventually left to pursue interests outside of simple banditry, though you still remember the lessons your criminal relations taught you. You gain a +2 trait bonus on Bluff checks to pass hidden messages. Also, anytime you deliver a coup de grace, you deal an additional 1d6 points of damage.	https://aonprd.com/TraitDisplay.aspx?ItemName=Ex-Sczarni
Exchange Agent	Campaign	Campaign	Varisia, Birthplace of Legends pg. 31		Although you’re a relative newcomer to Magnimar, you’re not some naive stranger. You’ve been sent by the Pathfinder Society lodge in your home country to learn more about Varisia by experiencing the frontier firsthand. After arriving, you reported to the Magnimar lodge and placed your expertise at the venture-captain’s disposal. To represent your experience in distant lands, choose a country other than Varisia as your homeland and gain one of the languages spoken in that country as a bonus language (see The Inner Sea World Guide). Additionally, choose one of the following skills: Handle Animal, Knowledge (geography), Linguistics, or Survival. You gain a +1 trait bonus on checks made with this skill and it is always a class skill for you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Exchange%20Agent
Expert Explorer	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		Adventurous scholars raised you, or perhaps you were born during an expedition and haven’t known any other life. You get fidgety and impatient when you become too familiar with a certain place. You are used to having excitement and the quest for knowledge guides your path in life, and you picked up a number of skills along the way that relate to this lifestyle. During your interview with the Bountiful Venture Company, they were impressed with the diverse locations you’ve visited in your life and selected you because of your skills in maneuvering uncharted territory.<br>Choose one Knowledge skill when you gain this trait. You gain a +1 trait bonus to check with that Knowledge skill and Survival checks, and either that Knowledge skill or Survival is a class skill for you. In addition, you treat the machete as a simple weapon.	https://aonprd.com/TraitDisplay.aspx?ItemName=Expert%20Explorer
Exposed to Awfulness	Campaign	Campaign	Wrath of the Righteous Player's Guide pg. 6		When you were a child, you were nearly slain by a demon that managed to make its way through the wardstones into the lands beyond. The demon was slain before it could kill you, but you lingered at death’s door in a coma for weeks before waking. Ever since then, you’ve been unusually hale and hearty, as if your body had endured its brush with awfulness by becoming supernaturally fit. But still, the scars (whether physical or purely mental) of your brush with death remain, and nightmares of what could have happened often plague your sleep. Something, be it your own personal force of will, some strange “infection” from the assault, or perhaps a combination of both, has made you stronger than before. You’re not sure what to make of the theories that you survived this exposure to awfulness because you yourself have some trace of demonic heritage that helped give you the advantage you needed to survive— but whatever it was, you’re glad for it! Your strange resistance to demonic attacks persists to this day. Once per day when you fail a saving throw against an effect created by a demon that would kill or physically incapacitate you, you can immediately reroll that saving throw as a free action. You must take the second result, even if it is worse. Associated Mythic Path: Guardian. Multiple Characters: You and any others with this trait are related, if only distantly. You could be siblings or cousins—a condition that perhaps lends some credence to the theory that all of you share more than just a common bloodline.	https://aonprd.com/TraitDisplay.aspx?ItemName=Exposed%20to%20Awfulness
Eye for Plunder	Campaign	Campaign	Skull and Shackles Player's Guide pg. 6		You’ve always had a keen eye for the glitter of gold or silver, and you’ve robbed enough rich merchants and raided enough ships to have a feel for where the most valuable plunder is hidden. You gain a +1 trait bonus on Appraise and Perception checks to find concealed or secret objects (including doors and traps). In addition, you begin the campaign with a selection mundane trade goods worth 50 gp that you were able to scrounge together during your first day on the Wormwood.<br>You found yourself relatively well off when you got your share of your last voyage’s plunder, and decided to spend a few of your hard-won coins at the Formidably Maid, a popular pirate tavern in Port Peril. Maybe the shine of your new wealth distracted you, however, because you never saw the miscreants who slipped something into your drink, knocking you out cold.	https://aonprd.com/TraitDisplay.aspx?ItemName=Eye%20for%20Plunder
Failed Winter Witch Apprentice	Campaign	Campaign	Reign of Winter Player's Guide pg. 5		As a child, you were apprenticed as a winter witch in the frozen land of Irrisen, but you did not complete your training. Perhaps you disagreed with the politics of Irrisen’s White Witches, or you had an altercation with one of your teachers, or maybe you were just ill-suited to the practice of witchcraft. Whatever the reason, you left the ranks of the winter witches and left Irrisen. Whether or not you have continued your training on your own, you still retain some small knowledge of witchery and the magic of the icy north. You gain a +1 trait bonus on Knowledge (arcana) and Spellcraft checks to identify spells or magical effects with the cold descriptor, and one of these skills (your choice) is a class skill for you. In addition, you gain Hallit or Skald (this does not count toward your number of languages).	https://aonprd.com/TraitDisplay.aspx?ItemName=Failed%20Winter%20Witch%20Apprentice
Family Ties (RotRL)	Campaign	Campaign	Rise of the Runelords Anniversary Edition Player's Guide pg. 4		While not ethnically a Varisian, you have been raised among Varisians and they consider you one of their own. Furthermore, you managed to get in good with a group of Sczarni and consider them your new family. After being run out of the last place your Sczarni family camped, you tracked down a friend of the family in Sandpoint—a ruthless thug named Jubrayl Vhiski at the Fatman’s Feedbag. During your time with the Sczarni, you learned a few tricks of the trade. You gain a +1 trait bonus on Knowledge (local) checks and Knowledge (local) is always a class skill for you. In addition, you begin play able to speak and read Varisian.	https://aonprd.com/TraitDisplay.aspx?ItemName=Family%20Ties%20(RotRL)
Favored Son/Daughter	Campaign	Campaign	Advanced Player's Guide pg. 330		You were born and raised in the town of Sandpoint or its surrounding farms. You know many of the region’s secrets, and the locals already know who you are. You are well liked in town, and you’ll have lots of friends in the region, but the town’s tougher side sees you as a snitch or a pansy. You gain a +1 trait bonus on Knowledge (local) checks, and Knowledge (local) is always a class skill for you. In addition, you can choose any one law-abiding citizen of Sandpoint from below as an ally; depending on the person you pick, you’ll get different benefits.<br>Tavern Owner: One of the town’s most influential and beloved nobles. Her inn/tavern is the most popular in town, and as one of her friends, you’re guaranteed a place to eat and sleep for free. She’s got lots of great contacts with merchants as well, and she’ll sell any of your loot for you—as a result, you gain an additional 10% over the amount of gp you normally would get from selling off treasure.<br>Sheriff: The no nonsense arm of the law, is like the uncle you never had. The benefits of being close friends with the town sheriff are extensive, and you can call in favors from him once per game session. A favor can either get you out of a legal jam, hook you up with a town guard for help, or give you a one-time +10 bonus on a Bluff, Diplomacy, or Intimidate check made against any local person.	https://aonprd.com/TraitDisplay.aspx?ItemName=Favored%20Son/Daughter
Fed-Up Citizen	Campaign	Campaign	Hell's Rebels Player's Guide pg. 10		Kintargo is a tough place to live if you count yourself as a law-abiding citizen. While you likely agree with most others of Kintargo that many of the laws put in place by House Thrune seem excessive, you always respected the law and honored it as best you could. You likely worship a deity such as Abadar or Iomedae —a lawful neutral or perhaps lawful good power allowed to practice within Cheliax, but only under restrictions. Yet despite this, Thrune has always made Cheliax a safer place to live. But with recent events, enough is enough. As much as it pains you to admit, the law of the land is now manifestly and obviously not correct, and something must be done to oppose this misuse of power. If that means aligning yourself to a rebel faction such as the Silver Ravens, so be it.<br>Note that this trait works particularly well for paladins or other characters who wish to venerate lawful causes but still oppose the government. Your GM should be open to allowing lawful characters to perform actions out of character for someone of lawful alignment, provided the end goal is a new and better government for Kintargo, but with this feat, characters tied strongly to law (such as lawful clerics, monks, or paladins) can hide those ties in ways that help them perform as rebels without giving up their actual convictions.<br>You’re good at hiding your true colors and faith to avoid attracting the wrong kind of attention. You gain a +1 bonus on Disguise checks, and Disguise is always a class skill for you. In addition, when someone uses detect good or detect law on you, your effective Hit Dice are 4 lower than their actual total when someone discerns the strength of your aura. If you are a cleric, paladin, or similar divine spellcaster, you treat yourself as if you were a standard-aligned creature rather than a divine spellcaster for these purposes. This means that until you become 9th level, you won’t radiate an aura of good or law at all when someone casts one of these detection spells. Finally, your internal convictions that you’re on the actual right of law help bolster your mindset, and you gain a +1 trait bonus on all saving throws against mind-affecting effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fed-Up%20Citizen
Finding Haleen	Campaign	Campaign	Legacy of Fire Player's Guide pg. 11		You never knew your parents—perhaps they died when you were a child, or maybe you were taken from them and raised elsewhere as a slave. You owe your sanity and your life to a woman named Haleen. She could be your sister or merely a childhood companion, but whatever your relationship to her, she took care of you and protected you. She’s always been a part of your life, and although her temper often kept her from making friends or keeping a job, she’s always been kind to you. Haleen was instrumental in securing your freedom from slavery or making sure you got a good apprenticeship or job in society—but recently, she’d been growing strangely morose and depressed. You and Haleen normally kept no secrets, but whatever was bothering her wasn’t something she shared with you. One night, she vanished, leaving you a brief note, begging you to forget her and to get on with your life, but something about the note bothered you—something in the way she phrased her words struck you as forced. You may be convinced she’d been kidnapped, forced to leave against her will, or even magically controlled, but you also suspect that she left you to protect you from something—that was ever her way. You’re now convinced that it’s time for you to step in and protect her, but you had no idea where she may have gone until recently. Several months have passed since she disappeared, and you’ve spent those months searching for clues to her location, and you’ve finally found a lead—a mysterious note, a strange dream, the result of a back-alley divination, or a report of a sighting of a woman matching Haleen’s description has come to you, placing Haleen in the vicinity of an old ghost town named Kelmarane. What she’s doing there and how she came to be there makes no sense to you yet, but the lead is the strongest one you’ve had. This and Garavel’s advertisement for mercenaries to accompany him to the region is all the omen you need. You joined Garavel’s group and eagerly await the day you’ll be leaving for Kelmarane. Although Haleen chose to become a swashbuckling adventurer, she always encouraged you to seek your own path, and her support is the primary reason you chose the class you did at 1st level. This class is always a favored class to you, and your dedication to it is such that every time you take a level in the class, you gain +1 hit point and 1 additional skill point over and above what you would normally gain. If multiple PCs take this trait, they should be siblings who were both protected and raised by Haleen.	https://aonprd.com/TraitDisplay.aspx?ItemName=Finding%20Haleen
Fixer of Odds	Campaign	Campaign	Varisia, Birthplace of Legends pg. 29		You’re going to win the Golden Goblin’s upcoming “Cheat the Devil and Take His Gold” tournament one way or the other. You gain a +1 trait bonus on Profession (gambling) checks, and creatures searching you for objects hidden on your body don’t gain the usual +4 bonus on their Perception checks. Additionally, you begin play with a “fixed” six-sided die (it has two “6s” and no “1”) and a dagger.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fixer%20of%20Odds
Foe of the Strange	Campaign	Campaign	Strange Aeons Player's Guide pg. 9		You awake feeling emboldened after a terrifying nightmare. Instead of being frightened by the bizarre creatures from your nightmares, these experiences have steeled you against these startling alien beings. You know that you fell victim to strange circumstances and loathsome forces, but you refuse to give in to a creeping sense of helplessness. Instead, you vow to fight back against whoever or whatever is responsible for your current situation. The creatures of your nightmares won’t hold fear over your head. You’ll take the fight to them.<br>You gain a +1 trait bonus on saving throws against extraordinary, spell-like, and supernatural abilities of aberrations (for example, a gibbering mouther’s gibbering or an intellect devourer’s confusion). In addition, whenever you’re confused and roll to determine behavior in a given round, subtract 10 from the result.	https://aonprd.com/TraitDisplay.aspx?ItemName=Foe%20of%20the%20Strange
Following in the Footsteps	Campaign	Campaign	Ruins of Azlant Player's Guide pg. 10		One of your dear friends or family members was part of the first wave of colonists to be selected by the Bountiful Venture Company to establish Talmandor’s Bounty. You applied for the first wave as well, but weren’t selected. Now that you’ve made your way into the second wave, you can’t wait to be reunited with your family member. Your devotion to your family or friends is important to you, and it shows not only in how you feel about that friend or family member you are soon to reunite with, but also in how you treat other people with respect.<br>Whenever you use the aid another action to aid an adjacent ally, increase the bonus you grant your ally by 1. In addition, due to your positive and helpful nature, you gain a +1 trait bonus on Diplomacy checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Following%20in%20the%20Footsteps
Fools for Friends	Campaign	Campaign	Second Darkness Player's Guide pg. 14		You don’t think of yourself as a gambler. In fact, you rather detest the whole thing. Unfortunately, one or more of your friends (pick one or more of the other players’ characters) doesn’t think so, and you’ve recently learned that friend—or friends—have decided to go to the Gold Goblin’s “Cheat the Devil and Take his Gold” tournament. Which pretty much means you have to go as well, since if no one’s there to watch out for them, they’ll lose all their money and respect. Again. Sometimes it’s hard being the responsible one. Your devotion to your friendships (even when said friends seem, at times, to be trying to test that devotion) is a point of pride to you. Whenever you take the Aid Another action to help an ally, or whenever an ally aids you in this manner, a successful check grants an additional +1 trait bonus to the check for which aid was being rendered. Additionally, as long as one of your friends is within 30 feet, you gain a +1 trait bonus on all saving throws against charm and compulsion effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fools%20for%20Friends
Foreign Opportunist	Campaign	Campaign	Mummy's Mask Player's Guide pg. 9		You’re not a native Osirian, but the opportunity to explore the tombs of Ancient Osirion—and “liberate” the treasures they hold—is too good to pass up. Whether or not you’re interested in the history of this land, you’re definitely interested in the wealth that’s lain hidden in dusty crypts for millennia— such as the tombs in the newly opened necropolis of Wati. You gain a +2 trait bonus on Appraise checks, and that skill is always a class skill for you. In addition, your contacts in the antiquities markets allow you to sell relics of Ancient Osirion for 60% of their listed price, rather than the normal 50% value. What is considered a relic of Ancient Osirion is left to the GM’s discretion.	https://aonprd.com/TraitDisplay.aspx?ItemName=Foreign%20Opportunist
Foreign-Tongued	Campaign	Campaign	Varisia, Birthplace of Legends pg. 29		Intrigued by the travels of one of your long-time acquaintances, you’ve convinced her to teach you one of the exotic languages she picked up in her journeys. Choose one of the following characters. You may select one of that character’s languages as a bonus language. Additionally, you gain a +2 trait bonus on Bluff checks made to pass secret messages to the chosen character (see the description of the Bluff skill). NPC Choices: Ameiko, Koya, Sandru, Shalelu.<br>Ameiko: Tien, Varisian<br>Koya or Sandru: Varisian<br>Shalelu: Elven, Goblin	https://aonprd.com/TraitDisplay.aspx?ItemName=Foreign-Tongued
Formerly Mind-Swapped	Campaign	Campaign	Strange Aeons Player's Guide pg. 9		You awake with a strange sensation beyond the frightening experience of extensive memory loss. Full recollections of the experience—like so many others—have been wiped from your mind, but at some point in your past your mind was swapped with that of a yithian, an alien being from beyond time and space. You don’t remember details of your experiences wandering the yithians’ peculiar city in a foreign body— and even worry whether this might be some strange hallucination— but every so often, a flash of insight strikes you as a result of this experience. You know that you can rely on these alien flashbacks during your investigation into your current situation, as it gives you greater perspective into an otherwise confusing world.<br>Once per day, you can reroll one Knowledge check that you have just failed. In addition, you can attempt untrained Knowledge checks with DCs up to 20 instead of 10.	https://aonprd.com/TraitDisplay.aspx?ItemName=Formerly%20Mind-Swapped
Foster Child	Campaign	Campaign	Jade Regent Player's Guide pg. 12		Koya Mvashti might be old enough to be your grandmother, but to you, she’s always been your mom. Ever since your parents passed away, Koya’s been taking care of you as if she were your mother. You never really figured out why Koya took you into her care, but you do know she’s done this before—most recently with Sandru Vhiski, whom you think of as your brother. Growing up, Koya made sure that you had the best education possible, particularly in one particular topic. Choose any Knowledge skill—you gain a +2 bonus on skill checks with that Knowledge skill, and it becomes a class skill for you. In addition, you gain a +1 trait bonus on all attack rolls against foes that threaten your adoptive mother. NPC Choices: Koya.	https://aonprd.com/TraitDisplay.aspx?ItemName=Foster%20Child
Foxclaw Scout	Campaign	Campaign	Ironfang Invasion Player's Guide pg. 8		You are part of Nirmathas’s informal network of hunters and scouts known as the Foxclaws, and study the secret vulnerabilities of those dangerous beasts that prey upon your fellow settlers. You gain a +2 trait bonus to confirm critical hits against creatures of the animal, magical beast, and vermin types, and while wearing a trophy from an animal, magical beast, or vermin whose CR was higher than your current class level, you gain a +1 morale bonus on Will saves.	https://aonprd.com/TraitDisplay.aspx?ItemName=Foxclaw%20Scout
