name	sphere	system	tradition	source	prerequisites	description
Innate Curse	General	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Casting Traditions 2<br>Your magic comes from a source that curses you, or your cursed condition is a side effect of your casting ability. You suffer the hindrance of a singular oracle curse, and do not get its benefit, nor the benefits that come with increased level. Use your magic skill bonus as your oracle level to determine any penalties from its hindrance. This curse is permanent and cannot be removed.<br>Not all curses are appropriate for this drawback, and the GM is the ultimate arbiter of which oracle curse you suffer from.<br>Special: If you already possess an oracle’s curse (or gain one later), then you retain this curse in addition to the other curse, but each curse must be a different type of curse and provide different kinds of benefits (even if you don’t possess the curse mastery feat).
Madness Mantra	General	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Casting Traditions<br>Your magic fights against you for control. At the end of any round in which you spend 1 or more spell points you must succeed at a Will saving throw with a DC of 10 + 1/2 your magic skill bonus or enter into an enraged state at the beginning of your next turn. While enraged, you gain the antagonized condition, always treating the creature(s) closest to you as your antagonist(s).<br>The GM may rule that the nature of your power will make you focus specifically on your allies, or beings of great importance to you (for example power that comes from a demon bound inside you may cause you to inflict harm to those you value the most before it can be contained).<br>When you attempt a Sense Motive check to end the antagonized condition, the skill check is made against your own magic skill defense + your casting ability modifier (minimum DC 15).<br>Incompatible: Emotional Casting<br>Antagonized: An antagonized creature can only target its antagonist (the one who caused the antagonized condition) with hostile actions. A hostile action is any attack or effect that causes direct harm to an opponent in the form of damage, negative conditions, or any other effect that penalizes or hinders a creature. Furthermore, an antagonized creature does not threaten any opponents except its antagonist: it cannot make attacks of opportunity or be used to determine flanking bonuses against other opponents. A creature is no longer antagonized if its antagonist is helpless, unconscious, or cannot participate in combat. If an antagonized creature uses an ability that targets multiple creatures, the antagonist must be chosen among these targets. If an antagonized creature uses an ability that targets an area, its antagonist must be within the ability's targeted area.<br>On each round after the first, an antagonized creature may attempt a Sense Motive skill check as a swift action to realize the folly of its actions. This skill check is opposed by the antagonist's original antagonize skill check. If the creature succeeds on its Sense Motive skill check, the antagonized condition ends, but the creature suffers a -2 penalty on attack rolls and a -2 penalty to the saving throw DC of its abilities and any spells it casts for 1 minute. These penalties do not apply against the antagonist.
Madness Mantra, Variant	General	Magic	Casting	[SM—]		Source: Baron’s Uncanny Gateway<br>Your magic fights against you for control. Whenever you spend one or more spell points, you must succeed at a Will save (DC 10 + 1/2 the ability’s caster level) or become angry for 1 round per spell point spent. If you fail this save while already angry, your anger condition increases by one step (angry to livid, livid to enraged, enraged to frenzied) and the duration is increased by 1 round per spell point spent.<br>The focus of your anger becomes the creature closest to you, choosing randomly if there are multiple options. The GM may rule that the nature of your power will make you focus specifically on your allies, or beings of great importance to you (for example power that comes from a demon bound inside you may cause you to inflict harm to those you value the most before it can be contained).<br>Incompatible: Emotional Casting
Magical Signs	General	Magic	Casting			Your magic is accompanied by tell-tale signs; for example, your body glows brightly, the sound of tortured souls shriek as you cast, a deep chill affects all nearby creatures, etc. Using magic automatically breaks stealth, and whenever you use magic all creatures within 60 feet who are observing you are considered to have automatically succeeded at a Spellcraft check to know which sphere effect, talents, and casting tradition you used.<br>You may not select this drawback if you possess the Witchmarked drawback.
Material Casting	General	Magic	Casting			Your magic requires the expenditure of specific materials: precious metals, rare components, etc. The exact nature of this material should be worked out with the GM, but as a rule of thumb, this should cost a silver piece worth of materials per caster level per ability used. A player who does not want to track the cost of such material components can instead simply spend 10 gp per caster level per month on components, which is assumed to cover his costs for spells cast and research performed. You must possess a spell component pouch or otherwise have access to your components to use your magic. The gp cost of materials listed in this drawback are certainly not the only metric that can be used to reflect the role of magic materials in a setting, and GMs are encouraged to consider what role magic materials might play in their game.<br>Perhaps magic in one world requires a pearl to use per spell point, and players must track how many pearls they possess. Perhaps magic is fueled by a rare mineral, the buying and selling of which is heavily regulated by powerful kings, merchants, and other world powers; in such a world, Material Casting might even be worth two drawbacks to reflect its rare usage.
Mental Focus	General	Magic	Casting			Your magic requires you to have a focus that is not always possible to achieve. You normally have focus, but lose it whenever you fail a save versus mind-affecting magic, have a critical hit confirmed on you, or a condition causes you to lose the ability to concentrate (such as being nauseated or helpless or failing a forced concentration check such as from being entangled). Using magic without your mental focus requires you to attempt a concentration check (DC 20 + 1/2 caster level) to produce the desired effect. Failure means time (and any spell points) are spent, but no effect happens. If focus is lost, the caster can refocus by meditating as a full-round action that provokes attacks of opportunity.
Narcoleptic Casting	General	Magic	Casting			Your magic has a pacifying effect that can lull you to sleep. At the end of any round in which you spend 1 or more spell points you must succeed at a Fortitude saving throw with a DC of 10 + 1/2 your magic skill bonus (minimum DC 11) or fall asleep standing up for 1 round. Sleeping creatures are helpless. Slapping or wounding awakens an affected creature, but normal noise does not. Awakening a creature without dealing damage is a standard action (an application of the aid another action). Creatures immune to sleep cannot gain this drawback; if a creature later becomes immune to sleep after gaining this drawback, they must immediately retrain it for another drawback or lose it, recalculating their spell points as appropriate.<br>This counts as 2 drawbacks when determining the number of spell points gained.
Oathbound Casting	General	Magic	Casting	[DbH]		Your magic derives from a covenant created with yourself or some other powerful entity. Select an Oath you have sworn. In the event that you break that Oath, forsake it, or have no Oaths to upkeep, you lose your spellcasting abilities until you atone, or select a new Oath to be the focus for your spellcasting in a ritual that takes 8 hours to complete.<br>Your oaths connections to your magic leaves openings for others to exploit, even without forcing you to break your oath. Creatures that succeed at a Spellcraft check to identify your magic become aware of the Oath sworn as well as the vulnerabilities to exploit. By succeeding at a Spellcraft check as a move action, they gain a +2 bonus to AC and saving throws against your magical effects for 1 minute. The DC of this check is equal to 15 + your magic skill bonus.<br>The Oaths that you can select for this drawback are the following: Oath against Harm, Oath against Mercy, Oath of Loyalty, Oath of Secrecy, and Oath of Silence. These count as a number of drawbacks equal to the number of oath points they are usually worth. With GM permission, other Oaths or paladin/antipaladin codes can be selected as well.
Painful Magic	General	Magic	Casting			Your magic debilitates you the more you rely on it. Whenever you spend one or more spell points, you must succeed at a Fortitude save (DC 10 + 1/2 the ability’s caster level) or be sickened for 1 round. If you fail this save while already sickened, you are instead nauseated for 1 round. If you fail this save while nauseated, increase the duration of the nauseated condition by 1 round. Creatures immune to the sickened condition cannot take this drawback.
Prepared Caster	General	Magic	Casting			You must prepare your magic before you can use it. After resting to regain spell points, you must assign each of your spell points to a sphere you possess. You cannot spend more spell points in a given sphere in a day than you have assigned to that sphere. Class features and feats that use spell points (such as the Counterspell feat) are considered a single unified ‘sphere’ for this purpose.<br>Author's Note: Temporary spell points interact poorly with prepared casting. A caster with prepared casting assigns how many spell points they can spend on each sphere when they rest and regain spell points. Notably, temporary spell points would generally be spent towards this daily limit. Consult your GM if looking to make temporary spell points work with the Prepared Casting drawback.
Planebound Magic	General	Magic	Casting	[LG]		Source: Arcforge Players Compendium<br>Your magical power is restricted to a realm outside of normal reality, typically in an extraplanar or virtual existence. Choose a plane other than the Material Plane or your native plane. When you attempt to use a magic sphere effect on any other plane, you must succeed at a Knowledge (planes) check to use any sphere ability. The DC of this skill check is 15 + the ability’s caster level. On a failure, the sphere effect fails.<br>This drawback counts as 2 drawbacks for the purposes of determining the number of spell points gained.
Ramp Up	General	Magic	Casting	[3PP]		Source: Card Casting 2: Counters and Control<br>You may not spend any spell points until your second turn of combat, at which point the number of spell points you may spend per round increases to 1. The amount of spell points you may spend each round increases by 1 for each successive round thereafter. You may attempt to create a magic sphere effect that costs more spell points than your limit by succeeding at a concentration check (DC 15 + your caster level + 2 for every spell point spent above your limit), with failure causing you to lose the effect. Outside of combat, your limit is considered to be 0<br>Incompatible: Card Casting (Mana Pool)
Restricted Channels	General	Magic	Casting	[LG]		Source: Arcforge Players Compendium<br>Only a limited portion of your magic can be diverted to its most potent or limited effects. You cannot spend more than ½ your total spell points per day on effects that cost 1 spell point. You cannot spend more than 1/X of your total spell points per day on effects that cost 2 or more spell points, where X is the spell point cost of the effect (for example, only 1/5 of your spell points per day may be spent on effects which cost 5 or more spell points).
Rigorous Concentration	General	Magic	Casting			Your magic requires intense amounts of concentration to use. When attempting a concentration check (such as to cast defensively or while taking damage), the DC increases by +10. You may increase the casting time by one step to take extra time focusing and negate this penalty.
Skilled Casting	General	Magic	Casting			You must create your magic through singing, drawing, or performing some other activity. Your magic is tied to a particular Perform, Profession, or Craft skill (although with GM permission another skill may be substituted). You must succeed at a skill check to use any sphere ability. The DC of this skill check is 15 + the ability’s caster level. For every 2 points by which this skill check falls short of this DC, the ability manifests at -1 caster level. If this reduces the ability to a caster level below 0, the manifested ability fails and any spell points used are lost.<br>A caster with Skilled Casting must be able to perform their skill to use their magic, which is similar to but not the same as possessing other drawbacks. For example, a caster who must draw to create magic must have at least one hand free, although unless he also possesses Somatic Casting he may do so while wearing any armor without a chance of arcane spell failure. Likewise, a caster who uses music to create magic must be able to speak, but unless he also possesses Verbal Casting he can do so by whispering and thus not automatically break stealth.<br>At the GM’s discretion, this drawback may count as two drawbacks if the skill involved requires bulky equipment or the use of both hands (for example, the Perform (strings) skill, or Craft (stonework)).
Somatic Casting	General	Magic	Casting			You must gesture to cast spells—a process that requires you to have at least 1 hand unoccupied. When using magic, you cannot wear armor heavier than light without incurring a chance of arcane spell failure.<br>You may select this drawback twice. If taken a second time, you cannot wear any armor or use a shield without incurring a chance of arcane spell failure.<br>Note: With GM permission, it is possible to modify this drawback so that, when taken once, the caster may wear either light or medium armor but cannot use a shield without incurring a chance of arcane spell failure, mimicking the core bloodrager.
Spell Gamble	General	Magic	Casting	[3PP]		Source: Expanded Spheres: Cardcaster's Gamble<br>Whenever you roll initiative, choose any number of your remaining spell points. For the duration of the encounter, you may use only those chosen spell points and not any of your other spell points. Any chosen spell points that you have remaining at the end of the encounter are lost.
Spell Stand-In	General	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Cohorts & Companions<br>In place of being able to cast spells directly, you must channel them through a summoned companion. You lose the ability to cast any sphere effect through yourself outside of summoning your companions. You gain the Conjuration sphere and the Spell Conduit talent as bonus talents, and the Spell Channel feat as a bonus feat.
Spell Tokens	General	Magic	Casting	[3PP]		Source: Card Casting 2: Counters and Control<br>Your magic is not always easily accessible, requiring additional steps in order to harness it. At the start of an encounter, you gain 2 spell tokens plus an additional spell token for every 5 points of MSB you possess. Whenever you spend any number of spell points on an effect, you must spend an equal number of spell tokens. As a standard action, you may gain a number of spell tokens equal to 2 + 1 for every 5 points of MSB you possess. All spell tokens are lost at the end of an encounter. When casting a spell outside of an encounter, the casting time is increased by 1 step for each spell token which would be required.<br>Incompatible: Extended Casting
Substantial Magic	General	Magic	Casting	[EO3]		Your magic manifests into tangible, corporeal substances, leaving them open to disruption. Any magic sphere effect you cast that has a duration longer than instantaneous manifests as a solid magic object that lasts for as long as the effect does.<br>Magic sphere effects that either target one or more creatures, or are centered and move with a creature (such as an aegis, a consecration, or a spirit ability) manifest as a worn item on the creature, such as an amulet or set of armor (which does not occupy an item slot, provides no additional benefits based on its form, and cannot be removed); summoned or polymorphed creatures appear with such an item worn.<br>Magic sphere effects that affect a defined area (such as a totem, ward, or entangle) appear as a Tiny-sized object, centered in the area. The object cannot be moved unless the sphere effect would normally be able to be moved (such as when using the Redeployment War sphere talent).<br>Magic objects created by this drawback do not block line of sight or line of effect. The magic objects have a hardness equal to your casting ability modifier, AC equal to 10 + your magic skill bonus + the object’s size modifier (+2 for a Tinysized object), a number of hit points equal to your magic skill bonus + your casting ability modifier, a Break DC of 15 + 1/2 your magic skill bonus, and saving throw bonuses equal to 2 + 1/2 your magic skill bonus. The magic object is immune to its own effects. When worn, a magic object created by this drawback can be sundered.<br>Magic objects can be identified as being the source of a magic sphere effect (but not what the sphere effect is) with a Spellcraft check against a DC equal to 15 + your magic skill bonus. If the object is destroyed, the sphere effect is immediately dispelled. If a magic sphere effect would already create an object (such as create or the Energy Tether talent), they are not subject to this drawback.<br>Incompatible: Crystalline (Protection), Manifest Totem (War).<br>Note: Unique to the Substantial Magic casting drawback is that it is incompatible with some sphere-specific drawbacks. Characters cannot select these sphere-specific drawbacks and, if they would possess them, cannot use those sphere effects. Characters may buy back those drawbacks as normal to regain use of those sphere effects.<br>Addendum [SM—]<br>Source: Baron’s Uncanny Gateway<br>If you select this drawback a second time, the item created with this drawback can be removed from its location or target as a standard action (if the target is willing to have the item removed) or a successful steal combat maneuver. Once removed from its owner or location, the item vanishes and its effects end.
Technical Caster	General	Magic	Casting	[3PP]		Source: Baron’s Glorious Arena<br>Your magic requires study, rehearsal, and structure in order to be used properly. You cannot spend spell points on magic sphere effects that are not crafted spells (created using the Spellcrafting Rules) or Techniques. You may select Spellcrafting, Technique Crafting, or any feat which require knowledge of a technique as a prerequisite as a drawback feat.
Terrain Casting	General	Magic	Casting			Your magic draws upon the primal energy and nutrients of the terrain. Whenever you use a sphere talent or ability you must either spend an additional spell point or increase your casting time by one step, else your magic drains and corrupts your space and all adjacent squares. Terrain that has been blighted in such a manner prevents those who possess the Terrain Casting drawback from using sphere talents or abilities as if it were a dead magic zone. Areas that have had its nutrients drained are affected in different ways depending upon location (water may turn brackish or stagnant, while soil may become barren or salted); regardless of location, blighted areas will generally heal naturally after a year.
Unreliable Training	General	Magic	Casting	[3PP]		Source: Baron’s Glorious Arena<br>Whenever you would learn a magic talent other than the 2 gained from your casting tradition or a specific talent granted by a drawback, sphere-specific drawback, or class feature, roll a d%. If the total result is higher than your 10 + your MSB + your casting ability modifier, you fail to learn the talent and must select a different talent to learn. You cannot try to learn a talent you have failed to learn until the next time you level up.<br>It is advised that this drawback be used in conjunction with a ruleset that allows a character to select auxiliary origin talents or skill talents in place of magic talents, so as to ensure that a character still gets the set number of talents.
Unsettling Casting	General	Magic	Casting	[Cata. HB]		You take 1 point of strain damage every time you cast a spell, plus an additional point of strain damage for every spell point beyond the first that you spend. This strain damage cannot be removed until at least 24 hours after it is taken. Strain damage gained from effects created within 1 minute of each other is cumulative for the purpose of determining if a character gains a severance.
Unstable Storage	General	Magic	Casting	[Mana HB]		The methods you have developed to store your magical potency are improperly practiced, dangerous, or otherwise fragile to others. You have some sort of obvious indicator of the levels of your magical reserves that alert any creature who can see you of how many spell points you have in reserve. The exact indicator varies across different casters, ranging from crystalline growths on their body that fade after magical use, to their skin color and tone draining the lower their spell point pool is.<br>Additionally, your spell point pool also serves as a bridge to your vitality. When you have less than 1/2 of your total capacity of spell points (rounded down), you are fatigued. When you have less than 1/4 of your total spell point capacity, you are exhausted. When you have no spell points remaining, you must attempt a concentration check (DC 15 + your caster level, +2 for every check succeeded, which resets when you rest to regain spell points) every hour and when you cast sphere effects or otherwise fall asleep. These conditions may only be cured by gaining spell points (including temporary ones) above the thresholds whether via use of Mana sphere, consumables, or rest. This drawback counts as 2 drawbacks when determining the number of spell points gained. The fatigued, exhausted and sleep conditions caused by this drawback bypass any immunities you may have. You can be woken up from sleep normally unless a different effect would prevent you from waking.<br>Author's Note: The exhausted, fatigued, and sleep conditions caused by this drawback bypass any immunity to those conditions. You can be woken up from sleep normally unless some other effect prevents that.
Vampiric Casting	General	Magic	Casting	[CrimDan]		Your magic is conjured through the lifeforce of creatures you have consumed. After you rest and regain spell points, your caster level with all spheres you possess is reduced to 1 (after any bonuses, but before penalties are applied). If your caster level with a sphere was already 1 or lower, it instead becomes 0.<br>You may drain the blood of a helpless or willing creature within reach by spending a full-round action, which causes them to suffer a -2 penalty to their Constitution score for 24 hours, which cannot be cured, reduced or ignored by any effect. You cannot drain the blood of creatures with Hit Dice less than half your MSB, your subordinates, or creatures that do not possess a Constitution score. You may not drain the same creature more than once in any 48 hour period of time. The first time each day that you drain blood from a creature, your caster level is instead reduced by half (minimum 1, applied after bonuses but before penalties) rather than set to 1. The second time you drain blood, you suffer no penalty to your caster level.<br>If your caster level with a sphere is 0 due to this drawback, you cannot utilize magic with that sphere. You may continue draining blood from creatures after removing this penalty, which reduces the penalty you would gain after your next rest at the same rate, but you may not reduce the penalty of any future days beyond your next rest.<br>You may take this drawback a second time, if you do, your hunger for blood intensifies, and the drawback is altered in the following ways:<br>After draining the blood of one creature, your caster level becomes equal to 1/3 your caster level with each sphere (after any bonuses, but before penalties). After draining the blood of a second creature, it becomes equal to 2/3 your caster level with each sphere (after bonuses, but before penalties). After draining the blood of three creatures, you do not suffer a penalty to your caster level. If you attempt to utilize magic without draining at least one creature, or a full day passes where you do not drain a creature, you must make a Will save against berserking (DC 5 + 1/2 your MSB + 2 for each save made against berserking in the past week, maximum of 20 + your MSB). Failure indicates you berserk for 1 hour or until you next drain blood, losing control of your actions as your body takes every action it possibly can (including utilizing magic, which never suffers from the penalty to your caster level while berserking) in order to a drain a suitable creature's blood. If you fail your saving throw against berserking 3 consecutive times, your berserk becomes permanent and does not end when draining a creature's blood. Your berserk is considered a magical emotion effect with a magic skill defense equal to your MSD+5, and can be ended through the Break Enchantment talent or similar effects, but cannot be dispelled through the Counterspell feat. Draining creatures after removing your penalty to your caster level no longer allows you to reduce the penalty you would incur after your next rest.<br>This drawback counts as 2 drawbacks when determining the number of spell points gained, or as 3 drawbacks if taken twice.
Verbal Casting	General	Magic	Casting			You must speak in a loud, clear voice to cast spells. Using magic alerts all nearby hearing creatures to your presence and location, effectively breaking stealth. You cannot cast in an area of magical silence, or in any other situation where you are unable to speak clearly.
Vulnerable Spellcaster	General	Magic	Casting	[Mana HB]		Your magical capabilities are directly linked to your physical state. When suffering from a condition or effect that bestows an attack penalty (or penalty, ability damage or ability drain to any physical ability score), you apply the largest penalty (counting ability damage or drain as a penalty) to your caster level. These penalties stack if you have multiple conditions, although they may not reduce your caster level below 1. Other penalties to your caster level may reduce your caster level to below 1, in which case any attempt to cast a sphere effect automatically fails, and the spell points are wasted. Additionally, you may not utilize magic while suffering from the frightened or panicked conditions.<br>If your caster level is brought below the requirement needed to cast certain advanced magic, rituals, incantations or to qualify for certain feats, you cannot make use of them while your caster level is reduced under the amount needed to cast the sphere effect or qualify for the feat.<br>Note: Under the GM’s discretion, other effects that would penalize the caster in a physical way may apply a similar penalty to their caster level.
Wild Magic / Variant Wild Magic	General	Magic	Casting			Your magic is not entirely stable and can result in a variety of unwanted effects. You have a base wild magic chance of 10% (whenever you cast a spell or magical sphere ability, you have a 10% chance of activating a wild magic event). When you activate a wild magic event, roll as if you had activated a rod of wonder, then add that effect to those you produce with your magic. GMs may always use their own wild magic tables (such as the wild magic tables on this wiki) to determine the nature of a wild magic event.
Witchmarked	General	Magic	Casting			Some aspect of your visage is a dead giveaway about your magical nature. This could be any purely cosmetic modification or sensation that is hard to hide such as a vestigial tail (or tails), glowing eyes, an aura visible to the naked eye or the stench of death clinging to you. The intensity of this trait grows proportional to your power. Anyone who sees you may attempt a Knowledge (arcana) check (DC 20 - your MSB, minimum DC 0) to learn your magic skill bonus, caster level and what base magic spheres you possess.<br>You may attempt to hide your witchmark trait, but doing so requires a successful Disguise check (DC 10 + your MSB, roll is hidden). Alternatively, if attempting to hide your witchmark as part of a more elaborate disguise, this gives a penalty to that Disguise check equal to your MSB. Using an illusion, shapechange, or other magical disguise to hide your witchmark automatically succeeds, but any use of magic that does not explicitly hide your witchmark instead immediately reveals your witchmark to all observers.<br>You may not select this drawback if you possess the Magical Signs drawback.
Striker	Universal	Magic	Casting	[3PP]		Source: Expanded Spheres: Baron's Lost Apocrypha<br>The Striker drawback can be applied as a sphere-specific drawback to any sphere that possesses a [strike] talent. You gain the [strike] talent associated with the sphere as a bonus talent for taking this drawback, but can only use that sphere’s abilities through weapon attacks made using a [strike] talent. This drawback can be selected once per sphere and does not grant an additional talent besides the associated [strike] talent
Beast Soul	Alteration	Magic	Casting			You cannot bestow the Blank Transformation, including through the Anthropomorphic Transformation talent. You must select a (transformation) talent with the bonus talent gained from this drawback.
Fleshwarper	Alteration	Magic	Casting			You may not target yourself with shapeshift.<br>Incompatible: Lycanthropic
Lycanthropic	Alteration	Magic	Casting			You can only target yourself with your shapeshift ability. You cannot gain the Mass Alteration nor Ranged Alteration talents.<br>Incompatible: Fleshwarper, Rebound
Rebound	Alteration	Magic	Casting			If an unwilling creature succeeds on a save to resist your shapeshift effect, you must save against the same effect at the same DC. On a failed save, you receive all the traits and forms you would have granted the target. This effect lasts for 1d4 rounds. You must select Animal Mind or Twisted Shapeshift with the bonus talent gained from this drawback.<br>Incompatible: Lycanthropic
Shapesnatcher	Alteration	Magic	Casting	[3PP]		Source: Expanded Spheres: Baron's Lost Apocrypha<br>Your forms require an initial inspiration which you draw from. You gain the Steal Shape talent as your bonus talent for this drawback, but you can only use your shapeshift when Steal Shape is triggered.
Transformative Brew	Alteration	Magic	Casting			You must select the Instill Shapeshift talent with the bonus talent granted by this drawback, and you can only use your Alteration sphere abilities through this talent.
Unnatural Transformation	Alteration	Magic	Casting			Creatures under the effect of your shapeshift bear irrepressible signs (coloration, visual aura, glowing sigil or similar) of their true identity. Your shapeshift never grants a bonus to Disguise checks due to the obviously unnatural nature of the transformation. When touched by silver (such as being hit with a silver weapon or even touched by a silver piece) a creature under the effect of your shapeshift must attempt a Will save with a DC equal 5 + any damage dealt or have the shapeshift end immediately.
Cruoromancy	Blood	Magic	Casting	[BaP]		You cannot use blood control. You must select any (blood art) talent with the bonus talent from this drawback.<br>Incompatible: Hemokinetic, Limited Acceleration, Self-Controlled.
Hemokinetic	Blood	Magic	Casting			You cannot use blood control. You must select the Hemokinesis talent with the bonus talent from this drawback. You may use the blood arc option on creatures within blood control range (and may take the Improved Range talent) even when they are not under your blood control. You may use the Hemokinesis options dependant on the Manipulate Alchemy and Manipulate Health talents, but only when the necessary ability has been used by another creature.<br>Incompatible: Limited Acceleration, Self-controlled
Humors	Blood	Magic	Casting			You must select the Instill Blood Control talent with the bonus talent granted by this drawback, and you can only use your Blood sphere abilities through this talent.
Limited Acceleration	Blood	Magic	Casting			Choose either (quicken) or (still). You can only use this ability and cannot use abilities of the other type.<br>Incompatible: Hemokinetic
Self-Controlled	Blood	Magic	Casting			You may only target yourself with blood control. You must select the Self Control talent with the bonus talent from this drawback.<br>Incompatible: Hemokinetic
Caller	Conjuration	Magic	Casting			You do not gain the summon ability of the Conjuration sphere. You must select the Call Planar Creature advanced talent with the bonus talent gained from this drawback. This drawback may not be selected if the Call Planar Creature advanced talent is not permitted in your campaign.<br>Incompatible: Any Conjuration drawback that affects the summon ability or companions granted by it.
Constant Link	Conjuration	Magic	Casting			Maintaining your companion’s presence requires concentration. You may not spend a spell point to continue the duration of summon without concentration nor take any talents that would allow you to maintain the summon without concentration.
Divided Soul	Conjuration	Magic	Casting			Your Conjuration sphere companions share a single pool of Hit Dice. The Hit Dice of all your companions combined is equal to your caster level (with a minimum of 1 Hit Die per companion). When you gain a caster level, you may choose which companion gains the additional Hit Die, but no single companion can have Hit Dice exceeding 2/3 your caster level. If this calculation would result in companions with less than 1 Hit Die, such a companion instead has 1 Hit Die, but has their hit points reduced by half and takes a -1 penalty on all d20 rolls. Calculate the companion’s Hit Dice prior to applying the effects of any companion template. You must take Extra Companion with the bonus talent gained from this drawback.
Elongated Summoning	Conjuration	Magic	Casting			Summoning a creature requires 1 minute of concentrated effort, rather than only a standard action.
Figment Companion	Conjuration	Magic	Casting			Your companions are only semi-real projections. The first time each round a creature is affected by an effect originating from your companions, such as attacks or sphere effects, it may attempt a Will save versus your Conjuration sphere DC to negate the effect and any others originating from your companion before the start of the creature’s next turn. Succeeding on this save grants a +2 bonus on future saves made against that same companion for the next 24 hours. (As usual, this bonus does not stack with itself.)
Life Merger	Conjuration	Magic	Casting	[Alienist HB]		Your companions are tied directly to your own life force. Whenever one of your Conjuration companions would take damage, you suffer an equal amount of damage. This damage cannot be reduced or redirected.
Limited Range	Conjuration	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Cohorts & Companions<br>Your companions must remain at a close proximity with you or lose effectiveness. Your companions must remain within 5 feet + 5 feet per 5 points of magic skill bonus you possess, and cannot move beyond this distance without being dismissed. If your moving would cause your companion to be beyond this range, your companion may take a movement action outside of their turn (which provokes attacks of opportunity as normal) to try to end up back in the area. If successful the companion is not dismissed and is staggered on their next turn.
Material Weakness	Conjuration	Magic	Casting			Choose cold iron, silver, or wood (or another special material with GM’s explicit approval). When touched by an object primarily composed of the chosen material, your companion must attempt a Will save with a DC equal to 10 + any damage dealt by the object or be dismissed from the plane. The companion may not be summoned again for 1 hour.
Object Bound	Conjuration	Magic	Casting			Choose an object you possess for each companion you gain (for example: a small oil lamp, a ring, or a sword). Such objects count as magic items of the Conjuration sphere using your caster level for the item’s caster level, though you may still enchant them with other effects normally. If enchanted separately, the other effects on the item may be suppressed using dispel effects separately from the magic property granted by this drawback, using the caster level of those enchantments for determining the MSD of those effects.<br>You must drop or throw this object as part of summoning the companion. This does not affect the casting time, though additional actions may be required to draw the object.<br>If this object is broken or destroyed, you cannot summon the corresponding companion. While the companion is present, the object is visible on the companion and may be targeted with the sunder maneuver, dispel effects, and other effects that can target attended magical items. While part of the companion, the object emits a sign that draws attention to itself, usually glowing. If the object is broken, destroyed, or has its magic suppressed, the companion immediately disappears and may not be summoned again until the object is repaired or replaced. Attuning a new object requires a 24 hour ritual. Any damage dealt to the object is also dealt to the companion without being further affected by damage reduction, immunity, resistance, or vulnerability.<br>You may choose to have a single item for any or all of your companions, but no more than one companion can be summoned at a time using a single item.
Counterfeit	Creation	Magic	Casting	[DbH]		When you create an object, it must be of the same shape, size, and material of another object you can perceive. You must select Exquisite Detail with this drawback.<br>Incompatible: Limited Creation (alter)
Down To Earth	Creation	Magic	Casting	[Apoc]		Source: Spheres Apocrypha: Casting Traditions<br>Your objects are all rooted to a surface and you cannot create objects in mid-air. All your creations must be created on a surface large enough to hold them. You gain the Created Momentum talent as the bonus talent from this drawback and may still create objects with momentum, but this does not allow the object to detach itself from a surface in the process of creation (meaning you can only target creatures that are on the surface where the created object is going to be).<br>Incompatible: Limited Creation (alter)
Fission	Creation	Magic	Casting			When creating objects, you do so by splitting off part of your body: this inflicts 1d4 points of damage + 1d4 per size category of the object or objects above Small to be created. This damage bypasses temporary hit points, and cannot be healed as long as the object or objects exist. However, you may reabsorb the created object by touching it as a free action, causing you to heal damage equal to that expended to create it. If an object has the broken condition when it is reabsorbed you only gain 1/2 the hit points back. If the object is destroyed you cannot reabsorb it but may heal normally. You may dismiss any object created in this way regardless of distance. Doing so does not restore the lost hit points but allows you to recover normally as if the object was destroyed. Even through Distant Creation or other options, you cannot create objects further away from you than adjacent spaces. You must take either the Created Momentum, Exquisite Detail, or Practiced Creation talent with the bonus talent gained from this drawback.<br>Incompatible: Limited Creation (alter)
Limited Creation	Creation	Magic	Casting			Choose either alter or create. You can only use this ability.
Material Focus	Creation	Magic	Casting			You may only create or alter objects of a single, special substance such as wood, stone, bones, gas, etc. If the material in question would require a (material) talent to use, you must choose that (material) talent as the talent gained from this drawback. You cannot gain any other (material) talent. If you choose a material not available from 1st caster level (for example: iron or gold), this does not allow you to create or alter that material before your caster level is high enough.<br>Incompatible: Water Wizard
Material Mimic	Creation	Magic	Casting			In order to create or alter objects you must be in physical contact with another object that is composed of the material that will result from the effect and no more than three size categories smaller (e.g. to create a Medium iron object, you would need to be touching another iron object of Diminutive size or larger). If you possess Change Material then this restricts the materials you can change the targeted object into. You may not use your own body as a blueprint, but you may use other creatures, if applicable.
Water Wizard	Creation	Magic	Casting			You may only create or alter water, ice, and steam. You lose the ability to create or alter vegetable matter and instead can create or alter water in its solid, liquid, or gaseous forms. You gain Gaseous Generation as the bonus talent gained from this drawback, but can only use it to affect steam. You cannot gain any other (material) talents.<br>Incompatible: Material Focus
Black Spot	Dark	Magic	Casting			Your area of darkness is only a 5-foot radius, and cannot be increased in any way. You cannot select talents that change the area of your darkness (such as Greater Darkness, Shifting Shadows, or Wall Of Darkness). You must select a (darkness) talent as your bonus talent for this drawback.<br>Incompatible: Meld Into Dark, Penumbra, Shadow Master, Shadowed Brew
